train_row,tsne_1,tsne_2,digit
264,-5.137952,22.742805,7
265,19.279272,-10.388875,5
266,-4.861161,15.891448,4
267,1.4833574,18.54503,4
268,-13.84646,-5.784913,2
269,11.354933,1.1605433,6
270,9.729983,8.350002,1
271,16.83535,-16.127703,5
272,-16.63645,4.111217,7
273,4.5454674,-3.5825527,0
274,-9.069352,-5.4209104,1
275,1.5050635,-1.3380156,3
276,-3.146003,-14.205365,5
277,8.97698,3.8004532,6
278,-4.5411673,9.278768,4
279,-2.4771435,1.7583467,3
280,-0.21763864,-20.336298,6
281,17.245646,-21.022867,5
282,10.870498,-25.45917,0
283,-8.664866,17.870188,7
284,-9.789133,-10.123373,2
285,21.29796,6.774086,6
286,-1.2318215,11.305811,9
287,8.3803005,-7.239393,4
288,-13.945734,-16.544106,7
289,-10.356166,-10.1527815,2
290,-2.7038682,16.518545,4
291,-0.78504413,-2.700395,8
292,-3.2964299,-24.593002,0
293,-15.611447,-2.5952535,3
294,17.386225,-8.962241,5
295,10.025833,-0.6104728,6
296,-10.185907,-12.6409445,3
297,-4.8552256,-3.9820304,2
298,1.7377516,-7.2086816,5
299,-10.020178,7.1240067,7
300,3.4725592,-2.7844377,3
301,3.6809998,0.7863374,3
302,5.950716,21.869776,9
303,1.1470263,12.443883,9
304,-15.0404,4.958373,8
305,-9.603419,-13.24858,3
306,-2.160453,6.641895,6
307,-10.644187,26.912832,6
308,-8.298305,-19.975906,2
309,-6.316182,11.190006,9
310,-8.409341,-10.418678,8
311,8.209266,5.699753,5
312,-1.2954972,-6.301149,3
313,-0.056087382,-12.9445,4
314,-10.912111,-18.959034,3
315,13.216471,5.4020953,1
316,4.967491,0.13287936,3
317,-14.166778,16.210476,7
318,3.0832808,-28.696981,0
319,-2.5600817,0.9089377,8
320,1.5075148,7.4530015,8
321,14.327815,3.2510684,6
322,-9.439937,-3.557161,1
323,15.062939,-1.5598009,6
324,-7.7572937,0.43104574,7
325,10.618956,11.223429,1
326,12.560824,9.003204,1
327,-16.19978,13.889563,7
328,-15.114823,-8.687505,2
329,18.065453,-19.778143,4
330,-11.110557,12.404199,7
331,-7.766261,-21.897009,2
332,4.7566338,-30.380737,0
333,-10.081057,-8.451144,2
334,5.8095026,11.098819,1
335,2.1171756,-14.100801,4
336,-8.581171,11.012019,9
337,-16.687214,-5.945748,2
338,4.3018026,10.0284,1
339,0.71649176,16.32948,4
340,3.7139676,-19.52122,0
341,5.343526,22.833769,9
342,-9.441722,10.500152,7
343,1.8554859,28.05488,3
344,-13.355668,-9.373451,2
345,-13.039852,10.302483,7
346,21.896027,5.056631,6
347,-16.061497,4.814305,7
348,-2.176026,13.534564,9
349,-1.3009398,-24.356014,0
350,-15.702819,-6.1083107,2
351,-11.06653,-13.9864645,3
352,-1.3266715,-20.932077,0
353,8.814712,-17.076738,3
354,-11.236775,10.878669,9
355,23.493454,5.72567,6
356,-17.985735,-1.6857151,2
357,14.51431,0.5846199,6
358,14.420399,-6.0298686,6
359,4.4724593,-25.865337,0
360,-14.392172,10.862106,7
361,0.4649313,-5.1140404,8
362,0.93707424,12.581434,9
363,-0.5796596,8.784689,4
364,11.958031,-0.9721809,6
365,-13.618182,13.330251,7
366,5.658667,-0.11629051,3
367,22.222523,-1.4664915,6
368,-1.3411549,22.822418,4
369,9.019114,-11.611648,8
370,0.23528768,-22.130835,0
371,-5.769799,-22.14803,2
372,5.4315004,18.598642,9
373,-4.5540004,6.9696555,4
374,-12.739245,-18.135483,5
375,-4.87182,11.049667,9
376,-9.910776,20.75567,7
377,-2.6819613,-6.5870733,3
378,1.9313629,-28.826286,0
379,7.323389,-9.510462,4
380,22.460918,-0.20885687,6
381,7.1566677,12.349575,4
382,-10.8548355,-12.507097,3
383,-14.593607,-3.61006,2
384,3.6786082,16.754627,9
385,-6.5735664,-18.032322,8
386,-1.2638112,-23.291199,0
387,-11.248517,7.83359,9
388,-4.808758,14.191419,9
389,-7.2757273,6.735646,4
390,-13.285052,-19.371128,3
391,-12.176879,9.568601,9
392,-1.3142493,-3.5804508,8
393,-11.217243,-13.74916,3
394,-3.2150226,-2.98219,8
395,0.5192587,2.5876524,8
396,6.3573823,0.80095893,3
397,-16.719452,10.118126,7
398,-9.230246,8.11473,9
399,7.5613647,6.986026,1
400,0.87543666,17.42319,4
401,0.35165125,-2.7165482,8
402,11.278926,-25.977728,0
403,8.072913,10.310945,1
404,4.3154254,-1.8659315,5
405,-22.000359,-12.115444,6
406,2.6375268,2.1882992,3
407,4.933313,9.445004,1
408,-7.543295,14.366226,9
409,6.619861,-26.875065,0
410,20.091608,-9.597457,5
411,-4.8004375,-10.87861,8
412,-13.317806,-17.085861,3
413,6.040831,8.36899,1
414,8.459839,2.937014,5
415,-12.468379,-16.727552,3
416,-5.8326526,-7.907892,8
417,-20.162876,-3.4928083,2
418,4.543433,-27.954132,0
419,-12.115963,21.37849,7
420,5.6856403,-4.2607727,5
421,-5.035993,-10.621979,8
422,-10.325741,-17.59066,5
423,-14.500321,16.484518,7
424,1.8262376,-15.545694,4
425,-3.1317465,-6.174564,3
426,12.501301,6.8545313,1
427,-8.080756,-13.402297,8
428,-0.72026414,-1.3552722,8
429,-9.232959,-3.5739028,1
430,1.0301727,15.486173,4
431,4.19497,-8.1251335,5
432,3.0372596,-28.824518,0
433,6.6041956,9.990047,1
434,2.7135763,-1.7040164,3
435,-10.764632,17.758595,7
436,2.3767726,-5.6327415,5
437,0.029104019,-25.250141,0
438,-8.557825,9.058626,9
439,16.353304,-15.602279,5
440,4.4813485,-24.123592,0
441,12.91623,-12.167313,5
442,7.0534496,21.973965,9
443,-0.34999952,9.597279,4
444,-7.950749,17.986423,7
445,-22.114845,-12.793839,6
446,17.911781,-14.842715,5
447,-0.99685264,14.480378,4
448,18.615946,-15.141797,5
449,10.321654,-27.50504,6
450,12.493348,5.9084945,1
451,9.262942,10.009726,1
452,8.795711,-6.755198,0
453,-2.3542974,-11.132462,8
454,-11.481413,5.8629375,9
455,-9.038075,-21.409687,2
456,5.6879354,10.099761,1
457,13.342545,-5.4279337,6
458,15.043837,-11.607896,5
459,21.759024,6.70004,6
460,-5.8046856,13.833878,9
461,0.77276665,0.29564276,3
462,-8.783831,-21.142448,2
463,1.7021656,15.378426,4
464,12.216522,-4.085413,6
465,20.443056,7.615764,2
466,8.666239,9.413584,1
467,7.308724,9.076172,1
468,-4.1169796,21.52393,7
469,-14.787711,7.56952,7
470,-5.1879654,8.840508,4
471,10.789798,-24.784597,8
472,-5.826447,12.932446,9
473,-5.466976,-18.216896,2
474,-8.277426,14.444129,9
475,20.434242,5.306184,2
476,17.50959,-10.275098,5
477,-6.177756,4.850181,4
478,5.151871,-6.049982,2
479,11.872775,-11.76249,3
480,-1.3959812,-18.560081,0
481,-11.390342,20.835226,7
482,8.510048,-16.25841,3
483,-17.821274,-1.5732037,3
484,3.8303583,-13.915705,4
485,-14.123838,4.4824986,9
486,-2.608156,-28.810057,3
487,7.3431396,9.726113,1
488,-10.236119,-3.357918,1
489,-2.8736377,-5.071826,3
490,-10.471765,-16.676418,5
491,-3.7105863,-1.6275194,8
492,-9.985678,20.014471,7
493,6.251369,9.208666,1
494,2.2380269,14.701826,4
495,-5.8295197,-13.786224,8
496,-10.051642,-4.7126193,1
497,-1.55527,-19.726625,0
498,3.811202,-13.451994,4
499,-2.6290925,-10.953938,8
500,-9.565761,14.995639,7
501,19.291256,-10.141096,8
502,9.6249075,-0.4829825,6
503,-1.1770641,14.411152,4
504,-15.441887,-6.0811753,2
505,7.1564965,-3.5416822,0
506,-14.460919,8.857575,7
507,-3.6846042,14.706643,4
508,-12.862496,-5.4310613,2
509,-12.981627,13.504018,7
510,10.984855,-3.029348,6
511,-2.9751072,13.061072,4
