beta,radius,dataset_count,dataset_sd_logZ_inf_full,dataset_se_logZ_inf_full,dataset_sd_dlogZ_inf_full_dr,dataset_se_dlogZ_inf_full_dr,dataset_mean_logZ_inf_full,dataset_mean_dlogZ_inf_full_dr
0.13,0.5,15,2.0897913678311792,0.5395818109772117,1.6406019033499781,0.42360158996204367,-11.66671568304093,-12.277158703223543
0.13,1.0,15,2.598264193142658,0.6708689299392377,0.804226132616003,0.20765029454710512,-16.54705938820936,-7.86664707089823
0.13,1.5,15,2.8677040569713803,0.74043800363344,0.5750395734969209,0.14847457943758605,-19.886377295827053,-5.808464118616124
0.13,2.0,15,3.045126007753954,0.7862481543422761,0.4008093262338487,0.10348852303388743,-22.454445653458336,-4.760840599880123
0.13,2.5,15,3.130480857587678,0.8082866818038793,0.34745083777254776,0.08971142055459282,-24.75137401982529,-4.569162779133744
0.15,0.01,15,0.8263444895285339,0.21336122974495206,0.6532364787776263,0.16866493356272808,-4.115708708921917,-1.2311284743957096
0.15,0.05,15,0.8870226132777069,0.2290282539289294,2.3577207707681977,0.6087608853461696,-4.361765033050196,-10.41658265548655
0.15,0.1,15,0.9900647260387275,0.25563361304102666,2.3297945605225623,0.6015503688659007,-5.017246805619767,-14.845024361496986
0.15,0.25,15,1.2603568042847717,0.3254227275516081,1.9993083792508444,0.5162192037847642,-7.321496107826925,-14.674689736704142
0.15,0.5,15,1.6344385348425792,0.42201021505633063,1.4912100507482533,0.3850287794830068,-10.540790172484535,-11.284032069831461
0.15,1.0,15,2.1294522657071058,0.5498222107751515,0.8387552361901363,0.21656567075391106,-15.155338977069693,-7.577012546576249
0.15,1.5,15,2.440495320578242,0.6301331822064441,0.6009701076417945,0.15516981456434323,-18.399546651614607,-5.705561330035895
0.15,2.0,15,2.544661345356107,0.6570287341534641,0.3868583207129855,0.09988638889754403,-21.02126803938887,-4.946283060492644
0.15,2.5,15,2.703535351187039,0.6980498260686948,0.26222076748639134,0.06770511103363473,-23.29214612300488,-4.42013481341294
0.17,0.01,15,0.9696794531708206,0.25037015821934017,0.8079020331122582,0.20859940797405926,-3.7756889657075554,-1.0566416129312601
0.17,0.05,15,1.0439767866077583,0.2695536472239321,2.952053048574901,0.7622168196167617,-3.9657202664242135,-7.926462345186444
0.17,0.1,15,1.1952065016850018,0.3086009917536559,3.5801585006672054,0.9243929499911334,-4.463942078022002,-11.317910884339899
0.17,0.25,15,1.6768738928122566,0.43296697737012474,3.2270154437982197,0.8332118047856427,-6.2356758190437205,-11.41997000278507
0.17,0.5,15,2.3143151206156296,0.5975535946680228,2.240629232958182,0.5785279802848358,-8.816767794042201,-9.343461049497277
0.17,1.0,15,3.0605533865806005,0.790231486427025,1.1607464692266716,0.2997034496322639,-12.783919531591646,-6.765149811257143
0.17,1.5,15,3.453530361769657,0.8916977051170372,0.6317013702808515,0.1631045924582762,-15.762884617623852,-5.243872432272138
0.17,2.0,15,3.554354041066723,0.9177302671717633,0.4590418188404632,0.11852408797212506,-18.264994588083763,-4.68808792018266
0.17,2.5,15,3.642377556614304,0.9404578411577909,0.33708369194632176,0.08703463501241436,-20.429214462550686,-4.411383798913256
0.19,0.01,15,0.6728789336074038,0.1737365935916854,0.42921640226703195,0.11082319852661854,-2.9961666772736093,-0.6570516636018983
0.19,0.05,15,0.6898413092452792,0.17811626014885912,1.4579963177388655,0.37645303049562423,-3.124417018698297,-5.454086975065862
0.19,0.1,15,0.7240022525259251,0.18693657777663764,1.8635336391233472,0.4811623166281351,-3.4704139922844934,-7.8642219291965
0.19,0.25,15,0.8718409052096551,0.22510835376129287,1.6445857171163454,0.42463020625347914,-4.7072517063226496,-8.095333752587917
0.19,0.5,15,1.116880118672792,0.2883772066219924,1.0796525444762595,0.2787650882964677,-6.588082819368312,-7.014192049983021
0.19,1.0,15,1.4515805344990487,0.3747964823862451,0.5980528833560069,0.15441659049260945,-9.76549815593999,-5.684867950178741
0.19,1.5,15,1.6179652649631642,0.41775683506296035,0.4352586474887307,0.11238329953444125,-12.345718237753525,-4.8144574375718205
0.19,2.0,15,1.6967574646325456,0.43810089353833126,0.27902498866593217,0.0720439422852579,-14.61497496406698,-4.319508411460768
0.19,2.5,15,1.7523291786459294,0.4524494483979337,0.24843112882460353,0.06414464164114658,-16.752963754457955,-4.248091815874548
0.21,0.01,15,0.8375788737156894,0.21626193526906867,0.346024088668091,0.08934303551987433,-2.7204301590361757,-0.5561111185592509
0.21,0.05,15,0.8693000145148289,0.22445229860491986,1.443485388204094,0.372706324600547,-2.8216912300811425,-4.141844343803478
0.21,0.1,15,0.9251648704197296,0.23887654237545036,1.5584644706620732,0.4023937960353444,-3.080376423597812,-5.855540424020782
0.21,0.25,15,1.1083402415909613,0.28617221984088653,1.4142918393242596,0.3651685826919942,-4.017146168547541,-6.254679969675975
0.21,0.5,15,1.3577057542036537,0.3505581183387154,1.0465955211818965,0.2702298015835171,-5.519350572358757,-5.753424694352289
0.21,1.0,15,1.6785552297127442,0.43340109669112153,0.5787607381614949,0.1494353800225454,-8.11919834847421,-4.690317830754787
0.21,1.5,15,1.9195213515013387,0.49561828180361583,0.43140014537312454,0.11138703857210466,-10.287384585421444,-4.142275058934312
0.21,2.0,15,2.0211705359256746,0.5218639883656838,0.3577282040572319,0.09236502511882316,-12.274524045288155,-3.9597350041561836
0.21,2.5,15,2.159215767942517,0.5575071140073217,0.3284063631622392,0.08479415835439315,-14.293715680505063,-4.054735642707458
0.23,0.01,15,0.4349205384712573,0.1122960001615161,0.21853667053724157,0.05642592570175691,-2.338615242707296,-0.347978832488064
0.23,0.05,15,0.4502308587382727,0.11624910785613293,0.9162553742653355,0.23657612036017922,-2.399835174856379,-2.5589096425565034
0.23,0.1,15,0.4876341551529495,0.12590659746328647,1.3209008722831828,0.34105513868957443,-2.5628218129100206,-3.7314262353299403
0.23,0.25,15,0.6467559452375983,0.1669916669977236,1.4328840750157985,0.3699690773054671,-3.1702994743491315,-4.108922127276236
0.23,0.5,15,0.9215499839986542,0.2379431827149666,1.1519442129196535,0.2974307168265219,-4.185927391373075,-4.069451848229726
0.23,1.0,15,1.3195371827869757,0.3407030355756939,0.7145245052046717,0.18448943394098588,-6.24044668386367,-4.091162259563069
0.23,1.5,15,1.5419235694778226,0.39812295371415346,0.47789799921981085,0.12339273281094483,-8.260893805538966,-3.991727301205459
0.23,2.0,15,1.6298960290201923,0.4208373450963203,0.32105150322854803,0.08289514168526821,-10.205816564027273,-3.9338972699648007
0.23,2.5,15,1.7483102938539095,0.45141177680661243,0.26314713993828615,0.06794429937220632,-12.214063929310734,-4.019532429560201
0.25,0.01,15,0.8572867501872341,0.22135048709329572,0.3473413105149409,0.08968314073828168,-1.6444738645483117,-0.2540293021804212
0.25,0.05,15,0.8885341901097322,0.22941854138872583,1.298483929874309,0.33526710904807716,-1.6853021332212368,-1.732972099872032
0.25,0.1,15,0.9586175841714324,0.24751399592516962,1.660903410758207,0.42884341663504216,-1.7973680612632286,-2.596729149761524
0.25,0.25,15,1.196287916810853,0.30888021193850645,1.6065735307085756,0.41481550192613087,-2.231543381898749,-3.0215143355159695
0.25,0.5,15,1.5229248248538003,0.39321749894564106,1.285592847555881,0.33193864590581984,-3.0294908648597896,-3.38358411942272
0.25,1.0,15,1.9926364579337732,0.514496521108216,0.8245294976783493,0.21289260086433423,-4.835609249956216,-3.7364727068939936
0.25,1.5,15,2.3349199477411715,0.6028737381552699,0.7279243515454277,0.18794925938895163,-6.710933751764891,-3.779489597672912
0.25,2.0,15,2.5744802079563285,0.6647279313703645,0.47707798777633353,0.12318100676665902,-8.604475434930944,-3.815935631228114
0.25,2.5,15,2.739144295264965,0.707244015894684,0.3166180774673188,0.08175043607594236,-10.554823110904302,-3.983962769928624
0.27,0.01,15,0.6207047559973911,0.1602652788593089,0.12041230099472883,0.031090322428739967,-1.3256039760309384,-0.21507577690442736
0.27,0.05,15,0.6367596121563769,0.16441062489460942,0.7794391289699463,0.20125031772553445,-1.3598804077802413,-1.3941313026765378
0.27,0.1,15,0.6735358901252712,0.17390621903521092,0.9878994659842615,0.2550745452989497,-1.4496572307485573,-2.0862327103611285
0.27,0.25,15,0.7905214317110163,0.20411175598912065,1.0870426983613077,0.2806732178246478,-1.8162237963139138,-2.680390083842767
0.27,0.5,15,0.9825046837269457,0.25368161850968307,0.9681854864744783,0.2499844176770254,-2.5566643535791362,-3.1906287923195342
0.27,1.0,15,1.2961909742160247,0.3346750704428687,0.593801221537962,0.15331881613160983,-4.278997760638459,-3.5763333873156435
0.27,1.5,15,1.4718256302915593,0.38002374364269625,0.3884095979046383,0.10028692694611889,-6.079989865916698,-3.639919795865418
0.27,2.0,15,1.5888707895053453,0.4102446738019755,0.29504192345418395,0.07617949706473719,-7.908512719210132,-3.7062708986805126
0.27,2.5,15,1.6769387216218121,0.43298371609677555,0.2249135989861096,0.05807244154725172,-9.821257471142234,-3.900271248391972
0.29,0.01,15,0.32074093311409707,0.08281495282652833,0.10004621375149841,0.025831821314044053,-1.0451965996393233,-0.16214016496240508
0.29,0.05,15,0.32947788965178104,0.08507082530432752,0.42100340498408395,0.10870261174666491,-1.071311404992438,-1.0621323658281634
0.29,0.1,15,0.3489237295938513,0.09009171958757108,0.5213147091760382,0.13460287911811725,-1.141033667279545,-1.6563060475704747
0.29,0.25,15,0.41575372979722974,0.10734715144188593,0.4998746793902413,0.12906708723127844,-1.4369898595371644,-2.196560063449166
0.29,0.5,15,0.5033518180480554,0.12996488057222297,0.45722864524383255,0.11805592856255616,-2.0653001938432447,-2.806726417744672
0.29,1.0,15,0.6577657730790668,0.16983439232269817,0.33441182978626705,0.08634476316913077,-3.651179523861367,-3.3826987607704426
0.29,1.5,15,0.7793401429786355,0.2012247596524775,0.293183230803025,0.07569958468582674,-5.365529716281439,-3.5154948982461707
0.29,2.0,15,0.8915784603447988,0.23020456858351038,0.22441584113530516,0.05794392102281108,-7.151146719029572,-3.601501683652649
0.29,2.5,15,0.9501976471543401,0.24533997753561534,0.17715242541510842,0.04574055955819776,-8.995952920245044,-3.8280067285055996
0.31,0.01,15,0.3924712326528134,0.1013356365286562,0.07032837342818181,0.01815870793688029,-1.0201757019054778,-0.1381567081527415
0.31,0.05,15,0.3996261137499206,0.10318301888420221,0.43896638510695085,0.11334063327093948,-1.0444666427200875,-1.0209959115860938
0.31,0.1,15,0.42106768256088695,0.10871920814563109,0.7578349267097605,0.19567213668808137,-1.112309715968582,-1.6111564566925
0.31,0.25,15,0.5090367198468227,0.13143271590498634,0.9227617938502831,0.23825607067324187,-1.4142793381235925,-2.3325795101045426
0.31,0.5,15,0.6748779124044431,0.17425272769770905,0.8447022898539598,0.2181011934071771,-2.102590775632561,-3.1017099950950873
0.31,1.0,15,0.9746124206285631,0.2516438449400882,0.5316069079887622,0.13726031342461964,-3.833212036594491,-3.644978755891456
0.31,1.5,15,1.1910243911848253,0.3075211754657104,0.4556796487327256,0.11765597938316612,-5.673251640584013,-3.709247908772851
0.31,2.0,15,1.312360737329605,0.3388500853262697,0.2993046967452184,0.07728014039572614,-7.507602482415148,-3.7307991390284414
0.31,2.5,15,1.390738515582419,0.35908714065199554,0.21136464425868728,0.05457411647939673,-9.42452522317681,-3.9060323476802608
0.33,0.01,15,0.3028088793583834,0.07818491645591664,0.056091920518204684,0.014482871601586456,-0.6716599331724628,-0.08091709832095531
0.33,0.05,15,0.3042782167569437,0.0785642977408889,0.20151383936139133,0.05203064959179902,-0.6856287030041309,-0.6229795695627248
0.33,0.1,15,0.30522956894338804,0.07880993581918737,0.42346585003098025,0.10933841232383694,-0.7315794371744082,-1.181715154383007
0.33,0.25,15,0.31275940698195864,0.08075413164072223,0.817825427601447,0.2111616174136909,-0.9810381599292104,-2.0291886841767197
0.33,0.5,15,0.40495102599696287,0.10455790531438959,0.7636499935287845,0.19717358048455894,-1.608934332167379,-2.913062982331934
0.33,1.0,15,0.5944518878558046,0.15348681745247267,0.43217559656074583,0.1115872592078016,-3.25372886055642,-3.4805018139805157
0.33,1.5,15,0.6934916109981237,0.1790587640086857,0.29154344102606333,0.0752761927859965,-5.0051965490112345,-3.524164823199395
0.33,2.0,15,0.7484827462721592,0.1932574140823776,0.19636081575542388,0.05070014461789731,-6.786603675212481,-3.6344415182949916
0.33,2.5,15,0.7912525622638407,0.20430053308612015,0.13229133706705196,0.03415747635388028,-8.636130271912718,-3.8756077747534228
0.35,0.01,15,0.3575510224993011,0.09231927703728177,0.08191068727288946,0.02114924851228698,-0.8126359567277334,-0.11003788451086437
0.35,0.05,15,0.3665345829862753,0.09463882238099497,0.4096434009749264,0.10576947132397714,-0.8309381123556053,-0.7993080086847272
0.35,0.1,15,0.39018508486361897,0.10074535570768826,0.6404790880912344,0.16537098945143094,-0.8887383489006973,-1.4565671577816517
0.35,0.25,15,0.4989607341871719,0.12883110759455615,0.996587388608036,0.2573177572746175,-1.187394102511394,-2.3964114326455856
0.35,0.5,15,0.7134857890403089,0.18422123858058498,0.9784580872366152,0.25263679178862497,-1.8931090821677063,-3.158683474208002
0.35,1.0,15,1.0404336568293533,0.26863881504891785,0.563762211272438,0.14556277703194798,-3.6159383565837233,-3.5652200342880773
0.35,1.5,15,1.2282682331204156,0.3171374941033986,0.3742111698732332,0.09662090859225513,-5.388550196943201,-3.539094257241598
0.35,2.0,15,1.3404318709874536,0.34609802087067043,0.29508041660476464,0.07618943595347999,-7.167301117395605,-3.5967183076828864
0.35,2.5,15,1.426630560341727,0.3683544267596043,0.2015922361097885,0.052050891545194954,-9.02715371292498,-3.8376059861542173
0.37,0.01,15,0.3511301120694152,0.09066140509311926,0.0869318614615356,0.022445710113022516,-0.7616494496455437,-0.10928439241952796
0.37,0.05,15,0.35740767728082323,0.09228226546102022,0.34073207794719407,0.08797664422720868,-0.7799261361182868,-0.8216490152778511
0.37,0.1,15,0.3679395044278642,0.09500157153739522,0.5461970012309942,0.1410274593010715,-0.8407636028747789,-1.5638775301032923
0.37,0.25,15,0.3944389857188903,0.10184370818561382,0.9791897769206708,0.25282571325268755,-1.1772295819213785,-2.767051501321355
0.37,0.5,15,0.5309779900517421,0.13709792751153896,1.1604792196493345,0.2996344460881101,-1.99700830598866,-3.6374788328653302
0.37,1.0,15,0.9000514784091254,0.23239229244052712,0.5687568231375831,0.14685238027024644,-3.8923582066050835,-3.7573476947021174
0.37,1.5,15,1.0189659593964389,0.26309587940631135,0.3540109358497054,0.09140523059474741,-5.690229738638147,-3.57562490521824
0.37,2.0,15,1.0872452799310528,0.28072552416103924,0.3151988163667095,0.08138398443550371,-7.510162453559494,-3.6420845012862633
0.37,2.5,15,1.1096074460332381,0.28649941062096507,0.223559469102634,0.05772280671476487,-9.378316908218892,-3.864136789745136
0.39,0.01,15,0.3634933271040247,0.09385357348876085,0.08496720720613218,0.021938438565540317,-0.6153072553731058,-0.09146881493549452
0.39,0.05,15,0.37555741619893634,0.09696850789887787,0.5586961605159645,0.14425472835122374,-0.6340112729245237,-0.8540568681390264
0.39,0.1,15,0.40137267281192934,0.10363397849489071,0.7721054717925182,0.19935677558453624,-0.6945468488096693,-1.5111612371344127
0.39,0.25,15,0.49514145017191485,0.12784497270218773,0.9574761637872753,0.24721928244924546,-1.0080054074427955,-2.5684921938016556
0.39,0.5,15,0.6656735325617346,0.17187616704151057,0.7934605822594646,0.20487064139752975,-1.7780513876024506,-3.4598764018301873
0.39,1.0,15,0.8898347046112186,0.2297543327891097,0.41829070786394135,0.10800219636202377,-3.617211029834003,-3.6935079413161023
0.39,1.5,15,1.0011605912992734,0.2584985531320837,0.32453513604900247,0.08379461181179632,-5.415383585801179,-3.570111094263584
0.39,2.0,15,1.0630394041942899,0.2744755939204493,0.2115887641525974,0.05463198398717457,-7.203350211666373,-3.635858387688565
0.39,2.5,15,1.129264938763035,0.2915749534190115,0.1798857342917735,0.04644629687548875,-9.122717539975794,-3.9539103571216416
