train_row,mnist_index,digit,tsne_1,tsne_2,umap_1,umap_2,label_low_tv_spectral_teacher,label_real_even_odd,label_teacher_nn,label_random_label
32,27146,8,4.884625434875488,7.56971549987793,2.0472140312194824,7.692705154418945,1,1,1,1
33,15523,1,-1.7285195589065552,-11.522860527038574,7.255150318145752,7.995324611663818,-1,-1,-1,1
34,10083,0,26.33695411682129,-1.7461261749267578,3.6035451889038086,9.746515274047852,-1,1,-1,-1
35,44245,1,4.646786689758301,-16.86647605895996,6.03192138671875,7.901055335998535,1,-1,1,1
36,62244,9,-14.228092193603516,4.797593593597412,5.934985160827637,4.754934787750244,-1,-1,-1,1
37,41073,1,-2.9717342853546143,-5.432257652282715,7.351728439331055,6.685649394989014,-1,-1,1,-1
38,67671,0,0.6390945911407471,4.420975685119629,3.0273172855377197,7.593041896820068,-1,1,-1,1
39,34945,1,1.5783982276916504,-12.714887619018555,6.434581756591797,7.986793518066406,-1,-1,-1,1
40,40767,8,9.189729690551758,-10.780678749084473,5.262709140777588,7.104428768157959,1,1,1,1
41,32216,2,9.120610237121582,17.0850830078125,2.8451826572418213,6.107104301452637,-1,1,-1,-1
42,40466,8,-6.820085048675537,19.304363250732422,3.834411144256592,5.291703701019287,-1,1,1,1
43,37121,6,-10.901025772094727,-17.01694107055664,5.449573516845703,9.215200424194336,1,1,-1,1
44,9149,4,-11.524544715881348,-1.6662136316299438,5.932096004486084,5.769481182098389,1,1,1,-1
45,14682,1,-2.17783260345459,-9.596416473388672,7.287423610687256,7.740917205810547,-1,-1,-1,-1
46,20257,2,-5.60457706451416,3.4453442096710205,5.108457565307617,5.615695953369141,-1,1,-1,1
47,30995,6,-17.232789993286133,-22.814510345458984,7.489491939544678,9.015440940856934,-1,1,-1,-1
48,60077,2,-3.3698337078094482,-0.41315120458602905,5.136743545532227,5.847897529602051,-1,1,-1,-1
49,40576,4,-4.2394843101501465,7.5872578620910645,4.584653377532959,4.927679061889648,-1,1,-1,-1
50,13,6,-16.8485164642334,-15.87066650390625,6.750158309936523,9.452311515808105,1,1,-1,-1
51,52249,7,-16.612728118896484,3.5447938442230225,6.170713424682617,4.6500701904296875,-1,-1,1,1
52,50463,0,25.894643783569336,0.31070053577423096,3.2468502521514893,9.717750549316406,-1,1,-1,1
53,51873,4,-10.62946605682373,-0.30705732107162476,5.7439961433410645,5.510227680206299,1,1,1,1
54,60071,0,22.514049530029297,7.0066914558410645,2.7233469486236572,9.251360893249512,-1,1,-1,1
55,51405,5,-2.4189536571502686,2.6357011795043945,5.503703594207764,6.677807331085205,1,-1,-1,-1
56,56446,6,-9.882280349731445,-16.224897384643555,5.568607807159424,9.221704483032227,1,1,-1,1
57,44802,5,4.307835578918457,5.871844291687012,1.9567533731460571,7.726705551147461,1,-1,1,-1
58,33836,7,-14.343876838684082,19.339895248413086,3.64182186126709,5.56689977645874,-1,-1,-1,1
59,34551,3,-17.29989242553711,16.86345100402832,3.614335060119629,5.725017547607422,-1,-1,1,1
60,3362,2,11.746707916259766,-22.81498146057129,3.980799674987793,6.852652072906494,-1,1,-1,-1
61,66223,7,-17.940420150756836,7.8430280685424805,5.884616851806641,3.9786901473999023,-1,-1,1,1
62,44532,8,15.10179328918457,-1.1268235445022583,3.343755006790161,8.244792938232422,1,1,-1,-1
63,10689,0,21.62401580810547,1.1020383834838867,3.5190563201904297,9.117615699768066,1,1,-1,-1
64,55768,1,-3.0098893642425537,-10.947936058044434,7.475492000579834,7.949419021606445,-1,-1,-1,1
65,40107,2,7.08009147644043,-2.56765079498291,3.450395107269287,6.756530284881592,-1,1,1,1
66,56623,8,12.60532283782959,4.910735607147217,2.4081499576568604,7.9815993309021,1,1,-1,-1
67,46892,0,26.97966766357422,6.551673889160156,2.1173346042633057,9.404691696166992,-1,1,-1,1
68,14492,6,2.7175824642181396,-26.23884391784668,6.236969470977783,8.786462783813477,-1,1,1,-1
69,31720,3,-2.1342532634735107,-3.7542543411254883,7.567435264587402,6.798554420471191,-1,-1,1,1
70,21826,8,1.4659814834594727,6.424502372741699,2.087869644165039,7.752685070037842,1,1,-1,-1
71,19341,7,-23.797948837280273,-2.5398683547973633,6.926532745361328,4.702518939971924,1,-1,1,-1
72,42361,6,-9.979753494262695,14.950019836425781,4.299808502197266,5.967118740081787,-1,1,-1,-1
73,12010,8,2.5758414268493652,6.836146831512451,1.9295837879180908,7.6213860511779785,1,1,1,-1
74,59235,8,13.192683219909668,-8.458866119384766,4.873379707336426,7.6495137214660645,1,1,-1,1
75,32599,7,-18.871234893798828,4.294997692108154,6.453948974609375,4.404030799865723,1,-1,1,1
76,15807,8,9.538569450378418,-12.814960479736328,5.384356498718262,7.181508541107178,1,1,-1,1
77,25462,6,28.57410430908203,8.847036361694336,2.219381093978882,9.450018882751465,-1,1,1,-1
78,66378,4,-7.298634052276611,16.804353713989258,4.2069597244262695,5.109033107757568,-1,1,1,-1
79,47350,1,-4.363361358642578,-4.08766508102417,7.899646282196045,6.584522247314453,-1,-1,-1,-1
80,12305,9,-12.606499671936035,-4.616955280303955,6.290907859802246,5.900203704833984,1,-1,-1,1
81,36105,7,-23.505260467529297,-1.5335848331451416,6.95904541015625,4.671913146972656,1,-1,1,1
82,41869,6,-17.78325080871582,-15.919462203979492,6.658486843109131,9.58658504486084,1,1,-1,1
83,15374,5,8.037566184997559,5.1378607749938965,2.2485036849975586,7.57980489730835,1,-1,1,1
84,45901,7,3.77225661277771,-12.480513572692871,6.028406620025635,7.978438854217529,1,-1,-1,1
85,43562,3,-6.53358268737793,-10.285904884338379,7.2480998039245605,7.146077632904053,-1,-1,1,1
86,7999,4,-6.372559547424316,17.751811981201172,4.034256935119629,5.120034694671631,-1,1,-1,-1
87,12158,1,-0.12424246966838837,-10.092568397521973,6.945597171783447,7.57339334487915,-1,-1,-1,-1
88,18106,9,-0.7356290221214294,19.907520294189453,4.131084442138672,4.1756157875061035,-1,-1,-1,-1
89,54627,9,-14.917113304138184,8.800894737243652,5.573062419891357,4.128324031829834,-1,-1,1,1
90,2451,4,-14.843194961547852,-3.5573625564575195,6.218071937561035,5.392848491668701,1,1,1,1
91,11015,9,-13.726598739624023,7.706704616546631,5.483186721801758,4.357133388519287,-1,-1,1,1
92,38112,8,3.482398509979248,11.824983596801758,2.09486985206604,8.120060920715332,-1,1,-1,-1
93,30910,9,-0.8889591097831726,16.083354949951172,4.290421962738037,4.286497116088867,-1,-1,-1,-1
94,25970,1,-3.97733998298645,-9.928624153137207,7.438570499420166,7.919349670410156,-1,-1,-1,1
95,2704,7,-17.207351684570312,7.875887393951416,5.823253154754639,3.989987850189209,-1,-1,1,-1
96,23776,2,-14.01708984375,19.979951858520508,3.521677017211914,5.785680294036865,-1,1,-1,1
97,18269,7,-23.109745025634766,7.77256441116333,6.261572360992432,3.9902944564819336,-1,-1,1,-1
98,27343,0,1.0762722492218018,3.6453962326049805,3.2664942741394043,7.606328010559082,1,1,-1,-1
99,23295,1,0.7329152226448059,-13.393510818481445,6.608278274536133,8.136091232299805,-1,-1,-1,-1
100,23461,8,18.1505126953125,6.5328569412231445,2.5313687324523926,8.917405128479004,-1,1,1,1
101,4967,8,14.782968521118164,-6.842551231384277,4.6381425857543945,7.893540382385254,1,1,1,-1
102,1991,5,10.558074951171875,-13.765385627746582,5.357870578765869,7.296375274658203,1,-1,-1,-1
103,20973,8,15.779261589050293,-8.410821914672852,4.995391845703125,7.977747917175293,1,1,-1,-1
104,13488,3,-1.4082262516021729,-3.372795820236206,7.669581413269043,6.774584770202637,-1,-1,-1,-1
105,34387,3,10.306392669677734,9.334515571594238,2.624406337738037,6.775210380554199,1,-1,-1,-1
106,29117,7,-19.79532814025879,0.13857506215572357,6.6111555099487305,4.6519856452941895,1,-1,1,1
107,22690,6,-9.906243324279785,-15.352398872375488,5.590939998626709,9.209929466247559,1,1,-1,1
108,68079,2,7.459712028503418,-1.8661253452301025,3.3621912002563477,6.77707052230835,-1,1,-1,-1
109,15303,6,-17.42522621154785,-21.550386428833008,7.439784526824951,9.162606239318848,1,1,-1,-1
110,39509,3,14.165387153625488,0.030062273144721985,2.976245403289795,8.16318130493164,1,-1,-1,-1
111,54764,0,24.263713836669922,1.477435827255249,3.1557254791259766,9.512534141540527,-1,1,1,1
112,50898,2,10.999692916870117,-22.805892944335938,4.065585613250732,6.949060916900635,-1,1,1,-1
113,50707,8,2.991870164871216,7.856256008148193,2.0416951179504395,7.348714351654053,1,1,1,-1
114,12809,1,-2.7145354747772217,-10.14907169342041,7.371800899505615,7.862515449523926,-1,-1,-1,1
115,61570,0,-14.235071182250977,-8.90740966796875,4.022776126861572,9.370043754577637,1,1,1,-1
116,43817,3,-23.611875534057617,-6.789305686950684,6.734421730041504,5.063722610473633,-1,-1,1,-1
117,65726,5,5.53309440612793,6.407728672027588,2.2618656158447266,7.400434970855713,1,-1,1,-1
118,53734,0,24.4331111907959,10.916569709777832,2.705103635787964,9.587653160095215,-1,1,-1,1
119,33787,4,-7.96763801574707,9.238056182861328,4.982857704162598,4.719046592712402,-1,1,1,1
120,32231,1,4.769114971160889,-15.454854965209961,6.002711772918701,7.947579860687256,1,-1,-1,1
121,35726,6,-2.9753506183624268,-14.315926551818848,6.842496395111084,8.242223739624023,-1,1,-1,-1
122,54701,8,-18.24514389038086,-3.87269926071167,6.5465240478515625,5.025303363800049,1,1,1,-1
123,46986,3,-1.5379180908203125,-2.7804460525512695,7.541323661804199,6.599442005157471,-1,-1,-1,-1
124,12109,3,14.669719696044922,-3.0373170375823975,4.401681900024414,7.708845615386963,1,-1,-1,-1
125,18220,6,-0.7309389710426331,-8.264662742614746,7.191661834716797,7.449897289276123,-1,1,1,-1
126,37384,1,-1.0127010345458984,-12.048686027526855,7.058082580566406,7.993012428283691,-1,-1,-1,-1
127,45448,6,-11.388264656066895,-13.127598762512207,5.33356237411499,8.979888916015625,1,1,1,1
128,13055,8,11.33241081237793,-12.812681198120117,5.261408805847168,7.503674030303955,1,1,-1,1
129,30883,3,8.207148551940918,1.7263692617416382,2.860067129135132,7.422558307647705,1,-1,-1,-1
130,11394,2,-13.298540115356445,13.798416137695312,4.665868282318115,6.186386585235596,-1,1,-1,-1
131,32099,7,-18.56245994567871,6.715518951416016,6.141143798828125,4.0312347412109375,-1,-1,1,-1
132,27279,3,9.929344177246094,15.356962203979492,2.678562879562378,6.375205039978027,-1,-1,-1,-1
133,28306,8,1.3309707641601562,-8.079140663146973,6.869167804718018,6.74159049987793,-1,1,1,1
134,515,2,20.249568939208984,-7.714916706085205,4.723614692687988,8.537845611572266,1,1,1,-1
135,40460,4,-4.54796838760376,11.971607208251953,4.281084060668945,4.725588798522949,-1,1,1,-1
136,36047,0,2.283499002456665,-6.786275863647461,6.48477840423584,6.77262020111084,-1,1,1,1
137,55157,2,16.38690185546875,1.7067569494247437,3.8237717151641846,7.1303205490112305,1,1,-1,1
138,6788,8,10.969523429870605,5.54736852645874,2.133265972137451,7.7425127029418945,1,1,1,-1
139,28292,1,8.355260848999023,-15.09035587310791,5.660516738891602,7.4990315437316895,1,-1,1,1
140,6555,5,-3.020925760269165,-19.09197425842285,6.090642929077148,7.032345771789551,1,-1,-1,-1
141,57577,6,3.457998037338257,-27.402013778686523,5.963099002838135,8.975184440612793,1,1,1,-1
142,33083,4,-14.28018569946289,-4.071850776672363,6.128078460693359,5.59837532043457,1,1,-1,-1
143,48565,6,-16.588092803955078,-15.087519645690918,6.746939182281494,9.482172012329102,1,1,-1,1
144,31276,2,5.707059383392334,-2.6569056510925293,3.159396171569824,6.537625312805176,-1,1,1,1
145,54694,3,-0.1234433725476265,-3.486264944076538,7.55161714553833,6.808104515075684,-1,-1,1,1
146,48485,3,18.99772834777832,-11.333114624023438,4.320986270904541,8.46709156036377,-1,-1,1,1
147,4145,0,18.06113052368164,-2.7799646854400635,3.864316463470459,9.006353378295898,1,1,-1,-1
148,49054,3,10.227034568786621,15.656333923339844,2.611783981323242,6.4263105392456055,-1,-1,-1,-1
149,4460,4,-16.54182243347168,1.684852957725525,6.463485240936279,4.934879779815674,1,1,1,-1
150,10881,8,11.409638404846191,-9.060174942016602,4.827455520629883,7.361082077026367,1,1,-1,-1
151,30406,9,-0.46864140033721924,16.82352638244629,4.33369255065918,4.196749210357666,-1,-1,-1,1
152,27970,7,0.8811429142951965,17.169876098632812,4.417115688323975,4.139033317565918,-1,-1,-1,1
153,61509,4,-7.256849765777588,17.13859748840332,4.059197902679443,5.097396373748779,-1,1,-1,-1
154,68233,1,5.633314609527588,-14.148436546325684,5.930048942565918,8.047140121459961,1,-1,-1,1
155,34622,3,9.34335708618164,5.601213455200195,2.4646480083465576,7.471756935119629,1,-1,-1,1
156,66459,6,-8.812707901000977,-20.014902114868164,5.655707359313965,9.262208938598633,1,1,1,-1
157,2049,5,-2.695574998855591,-22.701147079467773,6.100185394287109,6.9392900466918945,1,-1,1,1
158,29404,5,-2.802276611328125,2.2641220092773438,5.616405487060547,6.589546203613281,1,-1,-1,1
159,63934,8,3.6678433418273926,8.364484786987305,1.9763685464859009,7.428289413452148,1,1,1,1
160,33275,9,-14.678824424743652,0.06746096909046173,6.362532138824463,5.199108123779297,1,-1,1,1
161,20626,3,6.732224941253662,8.989264488220215,2.6766092777252197,6.946162700653076,1,-1,-1,1
162,23259,7,-23.82261085510254,-2.6898953914642334,6.923253536224365,4.766357421875,1,-1,1,-1
163,49232,1,-6.793377876281738,-6.376150131225586,8.103089332580566,6.92521333694458,-1,-1,-1,1
164,12111,8,11.845059394836426,-8.987800598144531,4.657780647277832,7.502403736114502,1,1,-1,1
165,26310,1,-1.6083643436431885,-7.672969818115234,7.2491536140441895,7.469592571258545,-1,-1,1,1
166,9359,8,6.389886379241943,3.117222547531128,2.9984192848205566,7.283770561218262,1,1,1,-1
167,22960,4,-8.031108856201172,10.863222122192383,5.0297346115112305,4.978053092956543,-1,1,1,1
168,11403,0,19.957868576049805,-3.4525949954986572,3.8611631393432617,9.145198822021484,1,1,1,-1
169,54522,7,-18.427946090698242,8.56536865234375,5.954299449920654,3.9229884147644043,-1,-1,1,1
170,53190,9,-21.620216369628906,4.960361957550049,6.529506683349609,4.209461212158203,-1,-1,1,-1
171,41953,9,-18.193479537963867,-0.47146663069725037,6.455586910247803,4.672451019287109,1,-1,1,-1
172,40898,3,-13.25210189819336,20.825475692749023,3.21718168258667,6.019897937774658,-1,-1,1,1
173,48489,5,9.212359428405762,3.260484218597412,5.065256595611572,7.125583171844482,1,-1,1,1
174,67035,8,8.263792991638184,0.5417336225509644,3.0684151649475098,7.825713157653809,1,1,-1,-1
175,66128,6,-11.90005111694336,14.079360961914062,4.4886794090271,6.097485542297363,-1,1,1,1
176,52957,6,-16.789844512939453,-20.760452270507812,7.423109531402588,9.2062406539917,1,1,1,1
177,4431,6,-17.333765029907227,-16.16265296936035,6.728553295135498,9.503508567810059,1,1,-1,1
178,15043,6,-17.175203323364258,-14.237059593200684,6.771426200866699,9.504688262939453,1,1,-1,-1
179,1646,4,-5.494393825531006,15.75367259979248,4.022935390472412,5.0331807136535645,-1,1,-1,-1
180,42579,0,24.83222198486328,-2.344496250152588,3.5727241039276123,9.780322074890137,-1,1,-1,1
181,36344,6,-9.009392738342285,13.498230934143066,4.5006489753723145,5.453596591949463,-1,1,-1,1
182,50950,3,8.339876174926758,10.990181922912598,2.184782028198242,6.948411464691162,1,-1,-1,-1
183,30833,3,11.861964225769043,7.222460746765137,2.457685947418213,7.334696292877197,1,-1,1,1
184,9151,0,24.574995040893555,-1.418656826019287,3.737196445465088,9.476672172546387,-1,1,-1,1
185,68605,6,-11.428722381591797,11.648056983947754,4.449102878570557,6.2673773765563965,1,1,-1,1
186,40618,3,10.129093170166016,-0.7542710900306702,3.328634262084961,7.883630752563477,1,-1,1,-1
187,60378,1,-3.1845662593841553,-8.120518684387207,7.494541645050049,7.3469719886779785,-1,-1,-1,-1
188,29806,7,-21.465858459472656,-1.2004321813583374,6.8321332931518555,4.910179615020752,1,-1,1,-1
189,56338,1,-6.155343055725098,-7.058197021484375,8.05278491973877,6.895242691040039,-1,-1,-1,-1
190,13007,1,0.9083130359649658,-14.72892951965332,6.484009742736816,8.258292198181152,1,-1,-1,1
191,56156,9,17.99338722229004,9.833027839660645,2.585453510284424,8.860467910766602,-1,-1,1,-1
192,16732,3,11.984410285949707,0.9514525532722473,2.8488268852233887,7.875707149505615,1,-1,-1,1
193,23378,0,20.938398361206055,7.061605453491211,2.6575968265533447,9.061391830444336,-1,1,1,-1
194,27241,8,17.65427017211914,5.760765075683594,2.6830949783325195,8.743353843688965,-1,1,1,1
195,28239,9,-13.052132606506348,6.248029708862305,5.4783616065979,4.51312780380249,-1,-1,1,-1
196,41752,5,-2.939464807510376,-22.87807846069336,5.930054664611816,6.839981555938721,1,-1,1,-1
197,18737,0,24.015535354614258,11.67987060546875,2.646196126937866,9.602629661560059,-1,1,1,1
198,9590,1,-2.4756128787994385,-8.681706428527832,7.31489896774292,7.346418857574463,-1,-1,-1,-1
199,9269,0,20.754148483276367,1.9718071222305298,3.3643503189086914,8.881414413452148,1,1,-1,-1
200,6877,1,-0.2510504126548767,-14.654053688049316,6.781819820404053,8.212944984436035,-1,-1,-1,-1
201,232,0,0.8709637522697449,2.495213747024536,3.855964183807373,7.57666015625,1,1,1,1
202,60676,7,-21.828962326049805,1.9810889959335327,6.728565692901611,4.430836200714111,1,-1,1,-1
203,22263,9,-18.109981536865234,1.0094451904296875,6.420616149902344,4.612463474273682,1,-1,1,1
204,63001,9,-6.876938343048096,5.944276332855225,4.998090744018555,4.732594966888428,-1,-1,1,1
205,62319,4,-4.702629566192627,17.6191349029541,4.067066669464111,5.180962562561035,-1,1,-1,-1
206,27498,7,-18.65361785888672,15.420578956604004,5.848620891571045,3.5721921920776367,-1,-1,1,1
207,5892,9,-2.174227237701416,16.306795120239258,4.317948818206787,4.359311103820801,-1,-1,-1,-1
208,38089,3,3.0551273822784424,-3.062511682510376,3.78582501411438,7.464140892028809,-1,-1,-1,-1
209,35175,0,21.813182830810547,-3.074841260910034,4.022648811340332,9.37183952331543,1,1,-1,1
210,26828,9,-9.140960693359375,4.262608528137207,5.388371467590332,4.852837562561035,-1,-1,1,1
211,43395,4,-14.379563331604004,-5.556255340576172,6.042683124542236,5.733717441558838,1,1,-1,-1
212,14918,5,6.8995513916015625,6.720073699951172,2.2189433574676514,7.55295467376709,1,-1,1,-1
213,26112,5,-3.4904232025146484,-19.367881774902344,5.964084625244141,7.099810600280762,1,-1,-1,-1
214,49921,7,0.2449551671743393,17.041439056396484,4.31017541885376,4.155736446380615,-1,-1,-1,-1
215,31846,1,-0.14276927709579468,-10.791081428527832,6.986385822296143,7.689719200134277,-1,-1,-1,1
216,33823,0,24.514070510864258,-2.855487823486328,3.6666386127471924,9.63359260559082,1,1,-1,1
217,63864,0,21.018171310424805,2.5099055767059326,3.1916630268096924,8.897411346435547,1,1,1,-1
218,29395,0,27.221275329589844,0.3794580101966858,3.1230409145355225,9.687950134277344,-1,1,-1,-1
219,34252,2,9.831974029541016,-21.968399047851562,6.7204389572143555,7.343103885650635,-1,1,1,-1
220,40712,7,-0.2340143471956253,20.247241973876953,4.093112468719482,4.229992866516113,-1,-1,-1,1
221,12972,4,-8.969935417175293,18.94635581970215,3.8982880115509033,5.243879795074463,-1,1,-1,1
222,55723,2,13.04313850402832,-3.8646678924560547,3.9261746406555176,7.372829914093018,1,1,-1,-1
223,22648,9,13.57393741607666,2.314703941345215,2.82924747467041,8.079766273498535,1,-1,-1,1
224,64225,7,-15.042092323303223,18.07903289794922,3.7617154121398926,5.577746391296387,-1,-1,1,-1
225,61745,9,-14.87248420715332,4.482733726501465,5.908779144287109,4.546823501586914,-1,-1,1,1
226,39440,6,-9.340973854064941,-14.638824462890625,5.718716621398926,9.09403133392334,1,1,-1,-1
227,40641,6,-8.46465015411377,-20.498258590698242,6.003122806549072,8.994903564453125,1,1,1,-1
228,31012,1,-1.4303828477859497,-10.277369499206543,7.212922096252441,7.762927532196045,-1,-1,-1,1
229,45992,7,-4.591919422149658,-11.121180534362793,6.980334281921387,7.3738813400268555,-1,-1,1,-1
230,17800,7,-6.066848278045654,-10.768773078918457,6.948404312133789,7.362435817718506,-1,-1,1,1
231,65787,9,-12.635438919067383,2.5623221397399902,5.657071113586426,5.050571441650391,1,-1,1,1
232,23414,8,13.102083206176758,-8.53439998626709,4.645993232727051,7.623445987701416,1,1,-1,-1
233,39220,0,19.679279327392578,2.861591339111328,3.3798885345458984,8.888376235961914,1,1,-1,-1
234,16507,6,-10.592488288879395,10.554062843322754,4.70071268081665,5.811082363128662,-1,1,1,-1
235,3591,3,11.357473373413086,14.44936752319336,2.769908905029297,6.5085954666137695,1,-1,-1,1
236,20678,1,-6.304920196533203,-5.452597141265869,8.068020820617676,6.738555908203125,-1,-1,-1,1
237,28371,3,-11.782532691955566,22.269527435302734,3.292773485183716,5.974881172180176,-1,-1,1,-1
238,10589,5,0.8799017667770386,-19.75581169128418,6.623562812805176,6.941856384277344,-1,-1,1,-1
239,44451,0,20.71947479248047,6.149133682250977,2.6958563327789307,9.123873710632324,-1,1,1,1
240,17824,9,-7.719817161560059,5.008895397186279,5.025244235992432,5.378261566162109,-1,-1,1,-1
241,47010,9,-16.076866149902344,5.310232162475586,5.98603630065918,4.371371746063232,-1,-1,1,1
242,25139,2,22.42922592163086,-6.964695930480957,4.428835391998291,8.712185859680176,1,1,-1,-1
243,13377,0,25.175472259521484,-5.219387531280518,3.914726972579956,9.394164085388184,1,1,-1,1
244,59101,8,7.327332019805908,-9.037867546081543,5.1187896728515625,6.770794868469238,1,1,-1,-1
245,8141,9,-13.96114444732666,0.5943902730941772,6.005433559417725,5.216475009918213,1,-1,1,-1
246,10107,0,-6.041286945343018,0.648770272731781,3.955415725708008,8.777774810791016,1,1,-1,1
247,52341,9,-13.739200592041016,3.6559457778930664,5.915482521057129,4.806612491607666,1,-1,1,-1
248,18875,5,-0.6083828806877136,-22.99015998840332,6.230824947357178,6.858985424041748,1,-1,1,1
249,12478,7,-19.451614379882812,13.502378463745117,5.790162086486816,3.5278942584991455,-1,-1,1,1
250,25986,8,20.829341888427734,9.372157096862793,2.3799643516540527,9.012360572814941,-1,1,1,1
251,35398,8,12.097579002380371,4.792558193206787,2.309116840362549,7.939905643463135,1,1,-1,1
252,31811,3,6.7090654373168945,1.4738517999649048,2.8325746059417725,7.233408451080322,1,-1,-1,-1
253,67378,8,16.199542999267578,-3.6394898891448975,4.586892604827881,7.79498815536499,1,1,-1,-1
254,5004,1,-2.1843628883361816,-10.67236614227295,7.377939701080322,7.880936145782471,-1,-1,-1,1
255,63407,3,9.039892196655273,8.96094036102295,2.488246202468872,6.905516147613525,-1,-1,1,1
256,52596,0,21.692922592163086,-3.7011871337890625,3.9537250995635986,9.451570510864258,1,1,1,1
257,38735,3,11.902641296386719,13.913298606872559,3.0123164653778076,6.754655361175537,1,-1,-1,1
258,10994,3,4.656554698944092,4.348920822143555,2.5133585929870605,7.4448394775390625,1,-1,1,-1
259,13388,3,3.8369410037994385,1.3193074464797974,3.1545073986053467,7.280355930328369,1,-1,-1,1
260,47438,8,-3.508939743041992,-25.661598205566406,5.602485179901123,7.022549152374268,1,1,1,-1
261,49864,3,3.3371119499206543,-2.2306156158447266,3.492541790008545,7.466984748840332,-1,-1,-1,-1
262,56429,0,19.767776489257812,3.404315233230591,3.118922233581543,8.801887512207031,-1,1,-1,1
263,38565,3,21.731769561767578,-17.662397384643555,3.932915449142456,8.163573265075684,-1,-1,-1,1
264,11994,7,-15.3707914352417,18.172937393188477,7.663090705871582,6.276831150054932,-1,-1,1,1
265,15949,5,2.092766761779785,-20.336259841918945,6.72769021987915,7.044272422790527,-1,-1,1,1
266,18246,4,-11.13635540008545,8.033120155334473,5.3365960121154785,4.437972545623779,-1,1,1,-1
267,30052,4,-3.884401798248291,15.281213760375977,4.09324312210083,4.570282936096191,-1,1,-1,1
268,50028,2,7.2886881828308105,-5.59776496887207,3.574073076248169,6.895205020904541,1,1,-1,1
269,4110,6,-9.646989822387695,-12.086078643798828,7.738296985626221,7.425235271453857,-1,1,-1,1
270,29666,1,-3.621570587158203,-8.6783447265625,7.419003009796143,7.38817024230957,-1,-1,-1,-1
271,33555,5,-3.919755220413208,-23.642101287841797,5.890286445617676,6.74785041809082,1,-1,1,1
