beta_ising,temperature_inverse_beta,beta_dir,dataset_label,edge_alignment,domain_wall_fraction,n_edges,source_dataset_path
0.05,20.000000,beta_0p05,dataset_012,0.0386740331,0.4806629834,2172,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_012
0.05,20.000000,beta_0p05,dataset_013,0.0297121634,0.4851439183,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_013
0.05,20.000000,beta_0p05,dataset_014,0.0705394191,0.4647302905,2169,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_014
0.05,20.000000,beta_0p05,dataset_015,0.0151863783,0.4924068109,2173,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_015
0.05,20.000000,beta_0p05,dataset_016,0.0546473610,0.4726763195,2141,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_016
0.05,20.000000,beta_0p05,dataset_017,0.1329262565,0.4335368718,2129,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_017
0.05,20.000000,beta_0p05,dataset_018,0.0511285122,0.4744357439,2171,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_018
0.05,20.000000,beta_0p05,dataset_019,0.0428374021,0.4785812989,2171,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_019
0.05,20.000000,beta_0p05,dataset_020,0.0087840962,0.4956079519,2163,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_020
0.05,20.000000,beta_0p05,dataset_021,0.0301369863,0.4849315068,2190,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_021
0.05,20.000000,beta_0p05,dataset_022,0.0478402229,0.4760798885,2153,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_022
0.05,20.000000,beta_0p05,dataset_023,0.0357640502,0.4821179749,2153,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_023
0.05,20.000000,beta_0p05,dataset_024,0.0894009217,0.4552995392,2170,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_024
0.05,20.000000,beta_0p05,dataset_025,0.0737628385,0.4631185808,2142,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_025
0.05,20.000000,beta_0p05,dataset_026,0.0633737185,0.4683131407,2146,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_026
0.05,20.000000,beta_0p05,dataset_027,0.0485886164,0.4757056918,2161,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_027
0.05,20.000000,beta_0p05,dataset_028,0.0041802137,0.4979098932,2153,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_028
0.05,20.000000,beta_0p05,dataset_029,0.0972477064,0.4513761468,2180,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_029
0.05,20.000000,beta_0p05,dataset_030,0.0974595843,0.4512702079,2165,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_030
0.05,20.000000,beta_0p05,dataset_031,0.0464904284,0.4767547858,2194,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_031
0.05,20.000000,beta_0p05,dataset_032,0.0843373494,0.4578313253,2158,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_032
0.05,20.000000,beta_0p05,dataset_033,0.0210575573,0.4894712213,2137,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_033
0.05,20.000000,beta_0p05,dataset_034,0.0756302521,0.4621848739,2142,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_034
0.05,20.000000,beta_0p05,dataset_035,0.0255941499,0.4872029250,2188,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_035
0.05,20.000000,beta_0p05,dataset_036,0.0379036032,0.4810481984,2137,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_036
0.05,20.000000,beta_0p05,dataset_037,0.0708661417,0.4645669291,2159,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_037
0.05,20.000000,beta_0p05,dataset_038,0.0150659134,0.4924670433,2124,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_038
0.05,20.000000,beta_0p05,dataset_039,0.0544959128,0.4727520436,2202,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_039
0.05,20.000000,beta_0p05,dataset_040,0.0068902159,0.4965548921,2177,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_040
0.05,20.000000,beta_0p05,dataset_041,0.0379629630,0.4810185185,2160,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_041
0.05,20.000000,beta_0p05,dataset_042,0.0469613260,0.4765193370,2172,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_042
0.05,20.000000,beta_0p05,dataset_043,0.0548446069,0.4725776965,2188,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_043
0.05,20.000000,beta_0p05,dataset_044,0.0398126464,0.4800936768,2135,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_044
0.05,20.000000,beta_0p05,dataset_045,0.0828779599,0.4585610200,2196,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_045
0.05,20.000000,beta_0p05,dataset_046,0.0860561436,0.4569719282,2173,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_046
0.05,20.000000,beta_0p05,dataset_047,0.0634191176,0.4682904412,2176,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_047
0.05,20.000000,beta_0p05,dataset_048,0.0203703704,0.4898148148,2160,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_048
0.05,20.000000,beta_0p05,dataset_049,0.0741758242,0.4629120879,2184,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_049
0.05,20.000000,beta_0p05,dataset_050,0.0254747568,0.4872626216,2159,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_050
0.05,20.000000,beta_0p05,dataset_051,0.0179972312,0.4910013844,2167,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_051
0.05,20.000000,beta_0p05,dataset_052,0.0719489982,0.4640255009,2196,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_052
0.05,20.000000,beta_0p05,dataset_053,0.0433971069,0.4783014466,2143,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_053
0.05,20.000000,beta_0p05,dataset_054,0.0051139005,0.4974430497,2151,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_054
0.05,20.000000,beta_0p05,dataset_055,0.0455185359,0.4772407321,2131,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_055
0.05,20.000000,beta_0p05,dataset_056,0.0391524643,0.4804237678,2171,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_056
0.05,20.000000,beta_0p05,dataset_057,0.0383177570,0.4808411215,2140,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_057
0.05,20.000000,beta_0p05,dataset_058,0.0642032333,0.4678983834,2165,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_058
0.05,20.000000,beta_0p05,dataset_059,0.0597498842,0.4701250579,2159,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_059
0.05,20.000000,beta_0p05,dataset_060,0.0786308973,0.4606845513,2162,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_060
0.05,20.000000,beta_0p05,dataset_061,0.0457875458,0.4771062271,2184,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_061
0.05,20.000000,beta_0p05,dataset_062,0.1085343228,0.4457328386,2156,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_062
0.05,20.000000,beta_0p05,dataset_063,0.0669745958,0.4665127021,2165,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_063
0.05,20.000000,beta_0p05,dataset_064,0.0826106801,0.4586946600,2191,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_064
0.05,20.000000,beta_0p05,dataset_065,0.0656799260,0.4671600370,2162,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_065
0.05,20.000000,beta_0p05,dataset_066,0.0352080476,0.4823959762,2187,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_066
0.05,20.000000,beta_0p05,dataset_067,0.0978922717,0.4510538642,2135,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_067
0.05,20.000000,beta_0p05,dataset_068,0.0505514706,0.4747242647,2176,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_068
0.05,20.000000,beta_0p05,dataset_069,0.0353817505,0.4823091248,2148,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_069
0.05,20.000000,beta_0p05,dataset_070,0.0600938967,0.4699530516,2130,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_070
0.05,20.000000,beta_0p05,dataset_071,0.0585565138,0.4707217431,2203,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_071
0.05,20.000000,beta_0p05,dataset_072,0.0295081967,0.4852459016,2135,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_072
0.05,20.000000,beta_0p05,dataset_073,0.0739519548,0.4630240226,2123,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_073
0.05,20.000000,beta_0p05,dataset_074,0.0764951321,0.4617524339,2157,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_074
0.05,20.000000,beta_0p05,dataset_075,0.0945505356,0.4527247322,2147,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_075
0.05,20.000000,beta_0p05,dataset_076,0.0928764653,0.4535617674,2218,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_076
0.05,20.000000,beta_0p05,dataset_077,0.0927643785,0.4536178108,2156,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_077
0.05,20.000000,beta_0p05,dataset_078,0.0743338008,0.4628330996,2139,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_078
0.05,20.000000,beta_0p05,dataset_079,0.0425629291,0.4787185355,2185,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_079
0.05,20.000000,beta_0p05,dataset_080,0.0392247347,0.4803876327,2167,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_080
0.05,20.000000,beta_0p05,dataset_081,0.0784856879,0.4607571560,2166,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_081
0.05,20.000000,beta_0p05,dataset_082,0.0762790698,0.4618604651,2150,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_082
0.05,20.000000,beta_0p05,dataset_083,0.0447897623,0.4776051188,2188,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_083
0.05,20.000000,beta_0p05,dataset_084,0.0642369021,0.4678815490,2195,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_084
0.05,20.000000,beta_0p05,dataset_085,0.0382819795,0.4808590103,2142,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_085
0.05,20.000000,beta_0p05,dataset_086,0.0667912191,0.4666043905,2141,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_086
0.05,20.000000,beta_0p05,dataset_087,0.0636913064,0.4681543468,2151,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_087
0.05,20.000000,beta_0p05,dataset_088,0.0539033457,0.4730483271,2152,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_088
0.05,20.000000,beta_0p05,dataset_089,0.0684931507,0.4657534247,2190,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p05/dataset_089
0.07,14.285714,beta_0p07,dataset_000,0.1370930766,0.4314534617,2181,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_000
0.07,14.285714,beta_0p07,dataset_001,0.0811808118,0.4594095941,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_001
0.07,14.285714,beta_0p07,dataset_002,0.1344653511,0.4327673245,2179,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_002
0.07,14.285714,beta_0p07,dataset_003,0.0779944290,0.4610027855,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_003
0.07,14.285714,beta_0p07,dataset_004,0.0772025431,0.4613987284,2202,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_004
0.07,14.285714,beta_0p07,dataset_005,0.1171586716,0.4414206642,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_005
0.07,14.285714,beta_0p07,dataset_006,0.0059770115,0.4970114943,2175,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_006
0.07,14.285714,beta_0p07,dataset_007,0.1404573028,0.4297713486,2143,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_007
0.07,14.285714,beta_0p07,dataset_008,0.0745715609,0.4627142195,2159,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_008
0.07,14.285714,beta_0p07,dataset_009,0.0711988976,0.4644005512,2177,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_009
0.07,14.285714,beta_0p07,dataset_010,0.0836027714,0.4581986143,2165,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_010
0.07,14.285714,beta_0p07,dataset_011,0.1328088848,0.4335955576,2161,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_011
0.07,14.285714,beta_0p07,dataset_012,0.1443108233,0.4278445883,2162,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_012
0.07,14.285714,beta_0p07,dataset_013,0.1309244486,0.4345377757,2131,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_013
0.07,14.285714,beta_0p07,dataset_014,0.0993439550,0.4503280225,2134,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_014
0.07,14.285714,beta_0p07,dataset_015,0.1321279555,0.4339360223,2157,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_015
0.07,14.285714,beta_0p07,dataset_016,0.1058275058,0.4470862471,2145,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_016
0.07,14.285714,beta_0p07,dataset_017,0.0979667283,0.4510166359,2164,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_017
0.07,14.285714,beta_0p07,dataset_018,0.1233379184,0.4383310408,2181,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_018
0.07,14.285714,beta_0p07,dataset_019,0.0876383764,0.4561808118,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_019
0.07,14.285714,beta_0p07,dataset_020,0.1624011168,0.4187994416,2149,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_020
0.07,14.285714,beta_0p07,dataset_021,0.1796982167,0.4101508916,2187,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_021
0.07,14.285714,beta_0p07,dataset_022,0.0852428964,0.4573785518,2182,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_022
0.07,14.285714,beta_0p07,dataset_023,0.0998151571,0.4500924214,2164,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_023
0.07,14.285714,beta_0p07,dataset_024,0.1236162362,0.4381918819,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_024
0.07,14.285714,beta_0p07,dataset_025,0.0993500464,0.4503249768,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_025
0.07,14.285714,beta_0p07,dataset_026,0.0991658943,0.4504170528,2158,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_026
0.07,14.285714,beta_0p07,dataset_027,0.0867959372,0.4566020314,2166,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_027
0.07,14.285714,beta_0p07,dataset_028,0.0797946804,0.4601026598,2143,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_028
0.07,14.285714,beta_0p07,dataset_029,0.0810055866,0.4594972067,2148,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_029
0.07,14.285714,beta_0p07,dataset_030,0.1262766945,0.4368616527,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_030
0.07,14.285714,beta_0p07,dataset_031,0.1451310861,0.4274344569,2136,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_031
0.07,14.285714,beta_0p07,dataset_032,0.1234911792,0.4382544104,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_032
0.07,14.285714,beta_0p07,dataset_033,0.0710032066,0.4644983967,2183,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_033
0.07,14.285714,beta_0p07,dataset_034,0.0628199162,0.4685900419,2149,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_034
0.07,14.285714,beta_0p07,dataset_035,0.1053621825,0.4473189087,2126,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_035
0.07,14.285714,beta_0p07,dataset_036,0.0800000000,0.4600000000,2150,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_036
0.07,14.285714,beta_0p07,dataset_037,0.0900735294,0.4549632353,2176,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_037
0.07,14.285714,beta_0p07,dataset_038,0.0831809872,0.4584095064,2188,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_038
0.07,14.285714,beta_0p07,dataset_039,0.1248860529,0.4375569736,2194,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_039
0.07,14.285714,beta_0p07,dataset_040,0.1176742040,0.4411628980,2167,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_040
0.07,14.285714,beta_0p07,dataset_041,0.0318352060,0.4840823970,2136,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_041
0.07,14.285714,beta_0p07,dataset_042,0.0387096774,0.4806451613,2170,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_042
0.07,14.285714,beta_0p07,dataset_043,0.0258094791,0.4870952604,2131,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_043
0.07,14.285714,beta_0p07,dataset_044,0.0836839645,0.4581580178,2139,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_044
0.07,14.285714,beta_0p07,dataset_045,0.1060676239,0.4469661881,2159,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_045
0.07,14.285714,beta_0p07,dataset_046,0.1089385475,0.4455307263,2148,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_046
0.07,14.285714,beta_0p07,dataset_047,0.0991810737,0.4504094631,2198,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_047
0.07,14.285714,beta_0p07,dataset_048,0.1086350975,0.4456824513,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_048
0.07,14.285714,beta_0p07,dataset_049,0.0829039813,0.4585480094,2135,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_049
0.07,14.285714,beta_0p07,dataset_050,0.0931966449,0.4534016775,2146,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_050
0.07,14.285714,beta_0p07,dataset_051,0.0919117647,0.4540441176,2176,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_051
0.07,14.285714,beta_0p07,dataset_052,0.1138888889,0.4430555556,2160,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_052
0.07,14.285714,beta_0p07,dataset_053,0.1121408712,0.4439295644,2158,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_053
0.07,14.285714,beta_0p07,dataset_054,0.1131386861,0.4434306569,2192,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_054
0.07,14.285714,beta_0p07,dataset_055,0.1512643678,0.4243678161,2175,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_055
0.07,14.285714,beta_0p07,dataset_056,0.1698287830,0.4150856085,2161,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_056
0.07,14.285714,beta_0p07,dataset_057,0.0872608493,0.4563695754,2143,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_057
0.07,14.285714,beta_0p07,dataset_058,0.0573731626,0.4713134187,2109,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_058
0.07,14.285714,beta_0p07,dataset_059,0.1256327658,0.4371836171,2173,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_059
0.07,14.285714,beta_0p07,dataset_060,0.0952600092,0.4523699954,2173,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_060
0.07,14.285714,beta_0p07,dataset_061,0.0850963799,0.4574518101,2127,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_061
0.07,14.285714,beta_0p07,dataset_062,0.0710382514,0.4644808743,2196,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_062
0.07,14.285714,beta_0p07,dataset_063,0.1069297843,0.4465351078,2179,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_063
0.07,14.285714,beta_0p07,dataset_064,0.1193339500,0.4403330250,2162,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_064
0.07,14.285714,beta_0p07,dataset_065,0.1221303949,0.4389348026,2178,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_065
0.07,14.285714,beta_0p07,dataset_066,0.0750806080,0.4624596960,2171,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_066
0.07,14.285714,beta_0p07,dataset_067,0.1007895959,0.4496052020,2153,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_067
0.07,14.285714,beta_0p07,dataset_068,0.1096833410,0.4451583295,2179,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_068
0.07,14.285714,beta_0p07,dataset_069,0.0442396313,0.4778801843,2170,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_069
0.07,14.285714,beta_0p07,dataset_070,0.0711372904,0.4644313548,2207,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_070
0.07,14.285714,beta_0p07,dataset_071,0.0778443114,0.4610778443,2171,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_071
0.07,14.285714,beta_0p07,dataset_072,0.0427112349,0.4786443825,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_072
0.07,14.285714,beta_0p07,dataset_073,0.1261770245,0.4369114878,2124,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_073
0.07,14.285714,beta_0p07,dataset_074,0.0804066543,0.4597966728,2164,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_074
0.07,14.285714,beta_0p07,dataset_075,0.1641655298,0.4179172351,2199,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_075
0.07,14.285714,beta_0p07,dataset_076,0.1106074343,0.4446962829,2206,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_076
0.07,14.285714,beta_0p07,dataset_077,0.0816978549,0.4591510726,2191,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_077
0.07,14.285714,beta_0p07,dataset_078,0.1325411335,0.4337294333,2188,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_078
0.07,14.285714,beta_0p07,dataset_079,0.0867158672,0.4566420664,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_079
0.07,14.285714,beta_0p07,dataset_080,0.0548947850,0.4725526075,2186,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_080
0.07,14.285714,beta_0p07,dataset_081,0.1308325709,0.4345837145,2186,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_081
0.07,14.285714,beta_0p07,dataset_082,0.1161083066,0.4419458467,2179,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_082
0.07,14.285714,beta_0p07,dataset_083,0.1184393869,0.4407803065,2153,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_083
0.07,14.285714,beta_0p07,dataset_084,0.0924369748,0.4537815126,2142,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_084
0.07,14.285714,beta_0p07,dataset_085,0.0555041628,0.4722479186,2162,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_085
0.07,14.285714,beta_0p07,dataset_086,0.1088372093,0.4455813953,2150,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_086
0.07,14.285714,beta_0p07,dataset_087,0.1412587413,0.4293706294,2145,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_087
0.07,14.285714,beta_0p07,dataset_088,0.0975496995,0.4512251503,2163,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_088
0.07,14.285714,beta_0p07,dataset_089,0.0707070707,0.4646464646,2178,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p07/dataset_089
0.09,11.111111,beta_0p09,dataset_000,0.1181102362,0.4409448819,2159,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p09/dataset_000
0.09,11.111111,beta_0p09,dataset_001,0.2068805207,0.3965597397,2151,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p09/dataset_001
