task_index,eta,rule,ref_id,radius,samples_per_ref_radius
144,0.3,eta_0p30,4,0.5,1024
145,0.3,eta_0p30,4,0.6,1024
146,0.3,eta_0p30,4,0.7,1024
147,0.3,eta_0p30,4,0.8,1024
148,0.3,eta_0p30,4,0.9,1024
149,0.3,eta_0p30,4,1.0,1024
150,0.3,eta_0p30,5,0.1,1024
151,0.3,eta_0p30,5,0.2,1024
152,0.3,eta_0p30,5,0.3,1024
153,0.3,eta_0p30,5,0.4,1024
154,0.3,eta_0p30,5,0.5,1024
155,0.3,eta_0p30,5,0.6,1024
156,0.3,eta_0p30,5,0.7,1024
157,0.3,eta_0p30,5,0.8,1024
158,0.3,eta_0p30,5,0.9,1024
159,0.3,eta_0p30,5,1.0,1024
160,0.3,eta_0p30,6,0.1,1024
161,0.3,eta_0p30,6,0.2,1024
162,0.3,eta_0p30,6,0.3,1024
163,0.3,eta_0p30,6,0.4,1024
164,0.3,eta_0p30,6,0.5,1024
165,0.3,eta_0p30,6,0.6,1024
166,0.3,eta_0p30,6,0.7,1024
167,0.3,eta_0p30,6,0.8,1024
168,0.3,eta_0p30,6,0.9,1024
169,0.3,eta_0p30,6,1.0,1024
170,0.3,eta_0p30,7,0.1,1024
171,0.3,eta_0p30,7,0.2,1024
172,0.3,eta_0p30,7,0.3,1024
173,0.3,eta_0p30,7,0.4,1024
174,0.3,eta_0p30,7,0.5,1024
175,0.3,eta_0p30,7,0.6,1024
176,0.3,eta_0p30,7,0.7,1024
177,0.3,eta_0p30,7,0.8,1024
178,0.3,eta_0p30,7,0.9,1024
179,0.3,eta_0p30,7,1.0,1024
180,0.3,eta_0p30,8,0.1,1024
181,0.3,eta_0p30,8,0.2,1024
182,0.3,eta_0p30,8,0.3,1024
183,0.3,eta_0p30,8,0.4,1024
184,0.3,eta_0p30,8,0.5,1024
185,0.3,eta_0p30,8,0.6,1024
186,0.3,eta_0p30,8,0.7,1024
187,0.3,eta_0p30,8,0.8,1024
188,0.3,eta_0p30,8,0.9,1024
189,0.3,eta_0p30,8,1.0,1024
190,0.3,eta_0p30,9,0.1,1024
191,0.3,eta_0p30,9,0.2,1024
192,0.3,eta_0p30,9,0.3,1024
193,0.3,eta_0p30,9,0.4,1024
194,0.3,eta_0p30,9,0.5,1024
195,0.3,eta_0p30,9,0.6,1024
196,0.3,eta_0p30,9,0.7,1024
197,0.3,eta_0p30,9,0.8,1024
198,0.3,eta_0p30,9,0.9,1024
199,0.3,eta_0p30,9,1.0,1024
200,0.35,eta_0p35,0,0.1,1024
201,0.35,eta_0p35,0,0.2,1024
202,0.35,eta_0p35,0,0.3,1024
203,0.35,eta_0p35,0,0.4,1024
204,0.35,eta_0p35,0,0.5,1024
205,0.35,eta_0p35,0,0.6,1024
206,0.35,eta_0p35,0,0.7,1024
207,0.35,eta_0p35,0,0.8,1024
208,0.35,eta_0p35,0,0.9,1024
209,0.35,eta_0p35,0,1.0,1024
210,0.35,eta_0p35,1,0.1,1024
211,0.35,eta_0p35,1,0.2,1024
212,0.35,eta_0p35,1,0.3,1024
213,0.35,eta_0p35,1,0.4,1024
214,0.35,eta_0p35,1,0.5,1024
215,0.35,eta_0p35,1,0.6,1024
216,0.35,eta_0p35,1,0.7,1024
217,0.35,eta_0p35,1,0.8,1024
218,0.35,eta_0p35,1,0.9,1024
219,0.35,eta_0p35,1,1.0,1024
220,0.35,eta_0p35,2,0.1,1024
221,0.35,eta_0p35,2,0.2,1024
222,0.35,eta_0p35,2,0.3,1024
223,0.35,eta_0p35,2,0.4,1024
224,0.35,eta_0p35,2,0.5,1024
225,0.35,eta_0p35,2,0.6,1024
226,0.35,eta_0p35,2,0.7,1024
227,0.35,eta_0p35,2,0.8,1024
228,0.35,eta_0p35,2,0.9,1024
229,0.35,eta_0p35,2,1.0,1024
230,0.35,eta_0p35,3,0.1,1024
231,0.35,eta_0p35,3,0.2,1024
232,0.35,eta_0p35,3,0.3,1024
233,0.35,eta_0p35,3,0.4,1024
234,0.35,eta_0p35,3,0.5,1024
235,0.35,eta_0p35,3,0.6,1024
236,0.35,eta_0p35,3,0.7,1024
237,0.35,eta_0p35,3,0.8,1024
238,0.35,eta_0p35,3,0.9,1024
239,0.35,eta_0p35,3,1.0,1024
240,0.35,eta_0p35,4,0.1,1024
241,0.35,eta_0p35,4,0.2,1024
242,0.35,eta_0p35,4,0.3,1024
243,0.35,eta_0p35,4,0.4,1024
244,0.35,eta_0p35,4,0.5,1024
245,0.35,eta_0p35,4,0.6,1024
246,0.35,eta_0p35,4,0.7,1024
247,0.35,eta_0p35,4,0.8,1024
248,0.35,eta_0p35,4,0.9,1024
249,0.35,eta_0p35,4,1.0,1024
250,0.35,eta_0p35,5,0.1,1024
251,0.35,eta_0p35,5,0.2,1024
252,0.35,eta_0p35,5,0.3,1024
253,0.35,eta_0p35,5,0.4,1024
254,0.35,eta_0p35,5,0.5,1024
255,0.35,eta_0p35,5,0.6,1024
256,0.35,eta_0p35,5,0.7,1024
257,0.35,eta_0p35,5,0.8,1024
258,0.35,eta_0p35,5,0.9,1024
259,0.35,eta_0p35,5,1.0,1024
260,0.35,eta_0p35,6,0.1,1024
261,0.35,eta_0p35,6,0.2,1024
262,0.35,eta_0p35,6,0.3,1024
263,0.35,eta_0p35,6,0.4,1024
264,0.35,eta_0p35,6,0.5,1024
265,0.35,eta_0p35,6,0.6,1024
266,0.35,eta_0p35,6,0.7,1024
267,0.35,eta_0p35,6,0.8,1024
268,0.35,eta_0p35,6,0.9,1024
269,0.35,eta_0p35,6,1.0,1024
270,0.35,eta_0p35,7,0.1,1024
271,0.35,eta_0p35,7,0.2,1024
272,0.35,eta_0p35,7,0.3,1024
273,0.35,eta_0p35,7,0.4,1024
274,0.35,eta_0p35,7,0.5,1024
275,0.35,eta_0p35,7,0.6,1024
276,0.35,eta_0p35,7,0.7,1024
277,0.35,eta_0p35,7,0.8,1024
278,0.35,eta_0p35,7,0.9,1024
279,0.35,eta_0p35,7,1.0,1024
280,0.35,eta_0p35,8,0.1,1024
281,0.35,eta_0p35,8,0.2,1024
282,0.35,eta_0p35,8,0.3,1024
283,0.35,eta_0p35,8,0.4,1024
284,0.35,eta_0p35,8,0.5,1024
285,0.35,eta_0p35,8,0.6,1024
286,0.35,eta_0p35,8,0.7,1024
287,0.35,eta_0p35,8,0.8,1024
288,0.35,eta_0p35,8,0.9,1024
289,0.35,eta_0p35,8,1.0,1024
290,0.35,eta_0p35,9,0.1,1024
291,0.35,eta_0p35,9,0.2,1024
292,0.35,eta_0p35,9,0.3,1024
293,0.35,eta_0p35,9,0.4,1024
294,0.35,eta_0p35,9,0.5,1024
295,0.35,eta_0p35,9,0.6,1024
296,0.35,eta_0p35,9,0.7,1024
297,0.35,eta_0p35,9,0.8,1024
298,0.35,eta_0p35,9,0.9,1024
299,0.35,eta_0p35,9,1.0,1024
300,0.4,eta_0p40,0,0.1,1024
301,0.4,eta_0p40,0,0.2,1024
302,0.4,eta_0p40,0,0.3,1024
303,0.4,eta_0p40,0,0.4,1024
304,0.4,eta_0p40,0,0.5,1024
305,0.4,eta_0p40,0,0.6,1024
306,0.4,eta_0p40,0,0.7,1024
307,0.4,eta_0p40,0,0.8,1024
308,0.4,eta_0p40,0,0.9,1024
309,0.4,eta_0p40,0,1.0,1024
310,0.4,eta_0p40,1,0.1,1024
311,0.4,eta_0p40,1,0.2,1024
312,0.4,eta_0p40,1,0.3,1024
313,0.4,eta_0p40,1,0.4,1024
314,0.4,eta_0p40,1,0.5,1024
315,0.4,eta_0p40,1,0.6,1024
316,0.4,eta_0p40,1,0.7,1024
317,0.4,eta_0p40,1,0.8,1024
318,0.4,eta_0p40,1,0.9,1024
319,0.4,eta_0p40,1,1.0,1024
320,0.4,eta_0p40,2,0.1,1024
321,0.4,eta_0p40,2,0.2,1024
322,0.4,eta_0p40,2,0.3,1024
323,0.4,eta_0p40,2,0.4,1024
324,0.4,eta_0p40,2,0.5,1024
325,0.4,eta_0p40,2,0.6,1024
326,0.4,eta_0p40,2,0.7,1024
327,0.4,eta_0p40,2,0.8,1024
328,0.4,eta_0p40,2,0.9,1024
329,0.4,eta_0p40,2,1.0,1024
330,0.4,eta_0p40,3,0.1,1024
331,0.4,eta_0p40,3,0.2,1024
332,0.4,eta_0p40,3,0.3,1024
333,0.4,eta_0p40,3,0.4,1024
334,0.4,eta_0p40,3,0.5,1024
335,0.4,eta_0p40,3,0.6,1024
336,0.4,eta_0p40,3,0.7,1024
337,0.4,eta_0p40,3,0.8,1024
338,0.4,eta_0p40,3,0.9,1024
339,0.4,eta_0p40,3,1.0,1024
340,0.4,eta_0p40,4,0.1,1024
341,0.4,eta_0p40,4,0.2,1024
342,0.4,eta_0p40,4,0.3,1024
343,0.4,eta_0p40,4,0.4,1024
344,0.4,eta_0p40,4,0.5,1024
345,0.4,eta_0p40,4,0.6,1024
346,0.4,eta_0p40,4,0.7,1024
347,0.4,eta_0p40,4,0.8,1024
348,0.4,eta_0p40,4,0.9,1024
349,0.4,eta_0p40,4,1.0,1024
350,0.4,eta_0p40,5,0.1,1024
351,0.4,eta_0p40,5,0.2,1024
352,0.4,eta_0p40,5,0.3,1024
353,0.4,eta_0p40,5,0.4,1024
354,0.4,eta_0p40,5,0.5,1024
355,0.4,eta_0p40,5,0.6,1024
356,0.4,eta_0p40,5,0.7,1024
357,0.4,eta_0p40,5,0.8,1024
358,0.4,eta_0p40,5,0.9,1024
359,0.4,eta_0p40,5,1.0,1024
360,0.4,eta_0p40,6,0.1,1024
361,0.4,eta_0p40,6,0.2,1024
362,0.4,eta_0p40,6,0.3,1024
363,0.4,eta_0p40,6,0.4,1024
364,0.4,eta_0p40,6,0.5,1024
365,0.4,eta_0p40,6,0.6,1024
366,0.4,eta_0p40,6,0.7,1024
367,0.4,eta_0p40,6,0.8,1024
368,0.4,eta_0p40,6,0.9,1024
369,0.4,eta_0p40,6,1.0,1024
370,0.4,eta_0p40,7,0.1,1024
371,0.4,eta_0p40,7,0.2,1024
372,0.4,eta_0p40,7,0.3,1024
373,0.4,eta_0p40,7,0.4,1024
374,0.4,eta_0p40,7,0.5,1024
375,0.4,eta_0p40,7,0.6,1024
376,0.4,eta_0p40,7,0.7,1024
377,0.4,eta_0p40,7,0.8,1024
378,0.4,eta_0p40,7,0.9,1024
379,0.4,eta_0p40,7,1.0,1024
380,0.4,eta_0p40,8,0.1,1024
381,0.4,eta_0p40,8,0.2,1024
382,0.4,eta_0p40,8,0.3,1024
383,0.4,eta_0p40,8,0.4,1024
384,0.4,eta_0p40,8,0.5,1024
385,0.4,eta_0p40,8,0.6,1024
386,0.4,eta_0p40,8,0.7,1024
387,0.4,eta_0p40,8,0.8,1024
388,0.4,eta_0p40,8,0.9,1024
389,0.4,eta_0p40,8,1.0,1024
390,0.4,eta_0p40,9,0.1,1024
391,0.4,eta_0p40,9,0.2,1024
392,0.4,eta_0p40,9,0.3,1024
393,0.4,eta_0p40,9,0.4,1024
394,0.4,eta_0p40,9,0.5,1024
395,0.4,eta_0p40,9,0.6,1024
396,0.4,eta_0p40,9,0.7,1024
397,0.4,eta_0p40,9,0.8,1024
398,0.4,eta_0p40,9,0.9,1024
399,0.4,eta_0p40,9,1.0,1024
