cell_id,series,dataset_id,seed,beta_ising,rewire_p,dataset_raw_path,dataset_meta_path,canonical_dataset
cell_beta_0p05_p_0p00,random_gaussian_baseline,10,607001234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_011/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_011/dataset_meta.json,dataset_011
cell_beta_0p05_p_0p00,random_gaussian_baseline,11,607101234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_012/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_012/dataset_meta.json,dataset_012
cell_beta_0p05_p_0p00,random_gaussian_baseline,12,607201234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_013/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_013/dataset_meta.json,dataset_013
cell_beta_0p05_p_0p00,random_gaussian_baseline,13,607301234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_014/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_014/dataset_meta.json,dataset_014
cell_beta_0p05_p_0p00,random_gaussian_baseline,14,607401234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_015/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_015/dataset_meta.json,dataset_015
cell_beta_0p05_p_0p00,random_gaussian_baseline,15,607501234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_016/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_016/dataset_meta.json,dataset_016
cell_beta_0p05_p_0p00,random_gaussian_baseline,16,607601234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_017/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_017/dataset_meta.json,dataset_017
cell_beta_0p05_p_0p00,random_gaussian_baseline,17,607701234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_018/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_018/dataset_meta.json,dataset_018
cell_beta_0p05_p_0p00,random_gaussian_baseline,18,607801234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_019/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_019/dataset_meta.json,dataset_019
cell_beta_0p05_p_0p00,random_gaussian_baseline,19,607901234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_020/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_020/dataset_meta.json,dataset_020
cell_beta_0p05_p_0p00,random_gaussian_baseline,20,608001234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_021/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_021/dataset_meta.json,dataset_021
cell_beta_0p05_p_0p00,random_gaussian_baseline,21,608101234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_022/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_022/dataset_meta.json,dataset_022
cell_beta_0p05_p_0p00,random_gaussian_baseline,22,608201234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_023/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_023/dataset_meta.json,dataset_023
cell_beta_0p05_p_0p00,random_gaussian_baseline,23,608301234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_024/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_024/dataset_meta.json,dataset_024
cell_beta_0p05_p_0p00,random_gaussian_baseline,24,608401234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_025/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_025/dataset_meta.json,dataset_025
cell_beta_0p05_p_0p00,random_gaussian_baseline,25,608501234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_026/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_026/dataset_meta.json,dataset_026
cell_beta_0p05_p_0p00,random_gaussian_baseline,26,608601234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_027/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_027/dataset_meta.json,dataset_027
cell_beta_0p05_p_0p00,random_gaussian_baseline,27,608701234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_028/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_028/dataset_meta.json,dataset_028
cell_beta_0p05_p_0p00,random_gaussian_baseline,28,608801234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_029/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_029/dataset_meta.json,dataset_029
cell_beta_0p05_p_0p00,random_gaussian_baseline,29,608901234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_030/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_030/dataset_meta.json,dataset_030
cell_beta_0p05_p_0p00,random_gaussian_baseline,30,609001234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_031/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_031/dataset_meta.json,dataset_031
cell_beta_0p05_p_0p00,random_gaussian_baseline,31,609101234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_032/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_032/dataset_meta.json,dataset_032
cell_beta_0p05_p_0p00,random_gaussian_baseline,32,609201234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_033/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_033/dataset_meta.json,dataset_033
cell_beta_0p05_p_0p00,random_gaussian_baseline,33,609301234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_034/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_034/dataset_meta.json,dataset_034
cell_beta_0p05_p_0p00,random_gaussian_baseline,34,609401234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_035/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_035/dataset_meta.json,dataset_035
cell_beta_0p05_p_0p00,random_gaussian_baseline,35,609501234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_036/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_036/dataset_meta.json,dataset_036
cell_beta_0p05_p_0p00,random_gaussian_baseline,36,609601234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_037/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_037/dataset_meta.json,dataset_037
cell_beta_0p05_p_0p00,random_gaussian_baseline,37,609701234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_038/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_038/dataset_meta.json,dataset_038
cell_beta_0p05_p_0p00,random_gaussian_baseline,38,609801234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_039/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_039/dataset_meta.json,dataset_039
cell_beta_0p05_p_0p00,random_gaussian_baseline,39,609901234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_040/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_040/dataset_meta.json,dataset_040
cell_beta_0p05_p_0p00,random_gaussian_baseline,40,610001234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_041/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_041/dataset_meta.json,dataset_041
cell_beta_0p05_p_0p00,random_gaussian_baseline,41,610101234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_042/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_042/dataset_meta.json,dataset_042
cell_beta_0p05_p_0p00,random_gaussian_baseline,42,610201234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_043/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_043/dataset_meta.json,dataset_043
cell_beta_0p05_p_0p00,random_gaussian_baseline,43,610301234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_044/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_044/dataset_meta.json,dataset_044
cell_beta_0p05_p_0p00,random_gaussian_baseline,44,610401234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_045/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_045/dataset_meta.json,dataset_045
cell_beta_0p05_p_0p00,random_gaussian_baseline,45,610501234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_046/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_046/dataset_meta.json,dataset_046
cell_beta_0p05_p_0p00,random_gaussian_baseline,46,610601234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_047/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_047/dataset_meta.json,dataset_047
cell_beta_0p05_p_0p00,random_gaussian_baseline,47,610701234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_048/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_048/dataset_meta.json,dataset_048
cell_beta_0p05_p_0p00,random_gaussian_baseline,48,610801234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_049/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_049/dataset_meta.json,dataset_049
cell_beta_0p05_p_0p00,random_gaussian_baseline,49,610901234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_050/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_050/dataset_meta.json,dataset_050
cell_beta_0p05_p_0p00,random_gaussian_baseline,50,611001234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_051/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_051/dataset_meta.json,dataset_051
cell_beta_0p05_p_0p00,random_gaussian_baseline,51,611101234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_052/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_052/dataset_meta.json,dataset_052
cell_beta_0p05_p_0p00,random_gaussian_baseline,52,611201234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_053/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_053/dataset_meta.json,dataset_053
cell_beta_0p05_p_0p00,random_gaussian_baseline,53,611301234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_054/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_054/dataset_meta.json,dataset_054
cell_beta_0p05_p_0p00,random_gaussian_baseline,54,611401234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_055/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_055/dataset_meta.json,dataset_055
cell_beta_0p05_p_0p00,random_gaussian_baseline,55,611501234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_056/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_056/dataset_meta.json,dataset_056
cell_beta_0p05_p_0p00,random_gaussian_baseline,56,611601234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_057/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_057/dataset_meta.json,dataset_057
cell_beta_0p05_p_0p00,random_gaussian_baseline,57,611701234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_058/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_058/dataset_meta.json,dataset_058
cell_beta_0p05_p_0p00,random_gaussian_baseline,58,611801234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_059/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_059/dataset_meta.json,dataset_059
cell_beta_0p05_p_0p00,random_gaussian_baseline,59,611901234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_060/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_060/dataset_meta.json,dataset_060
cell_beta_0p05_p_0p00,random_gaussian_baseline,60,612001234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_061/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_061/dataset_meta.json,dataset_061
cell_beta_0p05_p_0p00,random_gaussian_baseline,61,612101234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_062/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_062/dataset_meta.json,dataset_062
cell_beta_0p05_p_0p00,random_gaussian_baseline,62,612201234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_063/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_063/dataset_meta.json,dataset_063
cell_beta_0p05_p_0p00,random_gaussian_baseline,63,612301234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_064/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_064/dataset_meta.json,dataset_064
cell_beta_0p05_p_0p00,random_gaussian_baseline,64,612401234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_065/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_065/dataset_meta.json,dataset_065
cell_beta_0p05_p_0p00,random_gaussian_baseline,65,612501234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_066/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_066/dataset_meta.json,dataset_066
cell_beta_0p05_p_0p00,random_gaussian_baseline,66,612601234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_067/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_067/dataset_meta.json,dataset_067
cell_beta_0p05_p_0p00,random_gaussian_baseline,67,612701234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_068/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_068/dataset_meta.json,dataset_068
cell_beta_0p05_p_0p00,random_gaussian_baseline,68,612801234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_069/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_069/dataset_meta.json,dataset_069
cell_beta_0p05_p_0p00,random_gaussian_baseline,69,612901234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_070/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_070/dataset_meta.json,dataset_070
cell_beta_0p05_p_0p00,random_gaussian_baseline,70,613001234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_071/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_071/dataset_meta.json,dataset_071
cell_beta_0p05_p_0p00,random_gaussian_baseline,71,613101234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_072/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_072/dataset_meta.json,dataset_072
cell_beta_0p05_p_0p00,random_gaussian_baseline,72,613201234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_073/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_073/dataset_meta.json,dataset_073
cell_beta_0p05_p_0p00,random_gaussian_baseline,73,613301234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_074/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_074/dataset_meta.json,dataset_074
cell_beta_0p05_p_0p00,random_gaussian_baseline,74,613401234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_075/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_075/dataset_meta.json,dataset_075
cell_beta_0p05_p_0p00,random_gaussian_baseline,75,613501234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_076/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_076/dataset_meta.json,dataset_076
cell_beta_0p05_p_0p00,random_gaussian_baseline,76,613601234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_077/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_077/dataset_meta.json,dataset_077
