pair_id,digit_a,digit_b,label,dataset_path,n_train,n_test,feature_dim,train_label_balance,test_label_balance,train_digit_balance,test_digit_balance
pair_3_4,3,4,3/4,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_3_4/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'3': 256, '4': 256}","{'3': 1024, '4': 1024}"
pair_3_5,3,5,3/5,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_3_5/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'3': 256, '5': 256}","{'3': 1024, '5': 1024}"
pair_3_6,3,6,3/6,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_3_6/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'3': 256, '6': 256}","{'3': 1024, '6': 1024}"
pair_3_7,3,7,3/7,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_3_7/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'3': 256, '7': 256}","{'3': 1024, '7': 1024}"
pair_3_8,3,8,3/8,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_3_8/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'3': 256, '8': 256}","{'3': 1024, '8': 1024}"
pair_3_9,3,9,3/9,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_3_9/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'3': 256, '9': 256}","{'3': 1024, '9': 1024}"
pair_4_5,4,5,4/5,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_4_5/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'4': 256, '5': 256}","{'4': 1024, '5': 1024}"
pair_4_6,4,6,4/6,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_4_6/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'4': 256, '6': 256}","{'4': 1024, '6': 1024}"
pair_4_7,4,7,4/7,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_4_7/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'4': 256, '7': 256}","{'4': 1024, '7': 1024}"
pair_4_8,4,8,4/8,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_4_8/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'4': 256, '8': 256}","{'4': 1024, '8': 1024}"
pair_4_9,4,9,4/9,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_4_9/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'4': 256, '9': 256}","{'4': 1024, '9': 1024}"
pair_5_6,5,6,5/6,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_5_6/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'5': 256, '6': 256}","{'5': 1024, '6': 1024}"
pair_5_7,5,7,5/7,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_5_7/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'5': 256, '7': 256}","{'5': 1024, '7': 1024}"
pair_5_8,5,8,5/8,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_5_8/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'5': 256, '8': 256}","{'5': 1024, '8': 1024}"
pair_5_9,5,9,5/9,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_5_9/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'5': 256, '9': 256}","{'5': 1024, '9': 1024}"
pair_6_7,6,7,6/7,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_6_7/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'6': 256, '7': 256}","{'6': 1024, '7': 1024}"
pair_6_8,6,8,6/8,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_6_8/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'6': 256, '8': 256}","{'6': 1024, '8': 1024}"
pair_6_9,6,9,6/9,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_6_9/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'6': 256, '9': 256}","{'6': 1024, '9': 1024}"
pair_7_8,7,8,7/8,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_8/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'7': 256, '8': 256}","{'7': 1024, '8': 1024}"
pair_7_9,7,9,7/9,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'7': 256, '9': 256}","{'7': 1024, '9': 1024}"
pair_8_9,8,9,8/9,digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_8_9/dataset.npz,512,2048,100,"{'-1': 256, '1': 256}","{'-1': 1024, '1': 1024}","{'8': 256, '9': 256}","{'8': 1024, '9': 1024}"
