run,beta_role,beta,source_beta_tag,cell_id,dataset_id,dataset_tag,complexity_metric,knn_k,complexity_3nn_disagreement,source_dataset
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,26,dataset_026_seed_2601234,3nn_label_disagreement,3,0.4635416666666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_026_seed_2601234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,27,dataset_027_seed_2701234,3nn_label_disagreement,3,0.5006510416666666,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_027_seed_2701234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,28,dataset_028_seed_2801234,3nn_label_disagreement,3,0.4869791666666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_028_seed_2801234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,29,dataset_029_seed_2901234,3nn_label_disagreement,3,0.45703125,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_029_seed_2901234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,30,dataset_030_seed_93001234,3nn_label_disagreement,3,0.4609375,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_030_seed_93001234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,31,dataset_031_seed_93101234,3nn_label_disagreement,3,0.4850260416666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_031_seed_93101234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,32,dataset_032_seed_93201234,3nn_label_disagreement,3,0.455078125,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_032_seed_93201234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,33,dataset_033_seed_93301234,3nn_label_disagreement,3,0.494140625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_033_seed_93301234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,34,dataset_034_seed_3401234,3nn_label_disagreement,3,0.451171875,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_034_seed_3401234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,35,dataset_035_seed_3501234,3nn_label_disagreement,3,0.5169270833333334,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_035_seed_3501234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,36,dataset_036_seed_3601234,3nn_label_disagreement,3,0.4641927083333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_036_seed_3601234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,37,dataset_037_seed_3701234,3nn_label_disagreement,3,0.4700520833333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_037_seed_3701234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,38,dataset_038_seed_3801234,3nn_label_disagreement,3,0.4973958333333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_038_seed_3801234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,39,dataset_039_seed_3901234,3nn_label_disagreement,3,0.4752604166666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_039_seed_3901234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,40,dataset_040_seed_4001234,3nn_label_disagreement,3,0.49609375,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_040_seed_4001234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,41,dataset_041_seed_4101234,3nn_label_disagreement,3,0.4778645833333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_041_seed_4101234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,42,dataset_042_seed_4201234,3nn_label_disagreement,3,0.4765625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_042_seed_4201234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,43,dataset_043_seed_4301234,3nn_label_disagreement,3,0.4583333333333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_043_seed_4301234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,44,dataset_044_seed_4401234,3nn_label_disagreement,3,0.4889322916666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_044_seed_4401234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,45,dataset_045_seed_4501234,3nn_label_disagreement,3,0.447265625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_045_seed_4501234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,46,dataset_046_seed_4601234,3nn_label_disagreement,3,0.462890625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_046_seed_4601234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,47,dataset_047_seed_4701234,3nn_label_disagreement,3,0.4713541666666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_047_seed_4701234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,48,dataset_048_seed_4801234,3nn_label_disagreement,3,0.4895833333333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_048_seed_4801234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,49,dataset_049_seed_4901234,3nn_label_disagreement,3,0.451171875,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_049_seed_4901234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,50,dataset_050_seed_5001234,3nn_label_disagreement,3,0.4765625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_050_seed_5001234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,51,dataset_051_seed_5101234,3nn_label_disagreement,3,0.5045572916666666,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_051_seed_5101234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,52,dataset_052_seed_5201234,3nn_label_disagreement,3,0.4811197916666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_052_seed_5201234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,53,dataset_053_seed_5301234,3nn_label_disagreement,3,0.4700520833333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_053_seed_5301234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,54,dataset_054_seed_5401234,3nn_label_disagreement,3,0.494140625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_054_seed_5401234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,55,dataset_055_seed_5501234,3nn_label_disagreement,3,0.4908854166666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_055_seed_5501234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,56,dataset_056_seed_5601234,3nn_label_disagreement,3,0.4791666666666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_056_seed_5601234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,57,dataset_057_seed_5701234,3nn_label_disagreement,3,0.4720052083333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_057_seed_5701234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,58,dataset_058_seed_5801234,3nn_label_disagreement,3,0.4993489583333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_058_seed_5801234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,59,dataset_059_seed_5901234,3nn_label_disagreement,3,0.50390625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_059_seed_5901234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,60,dataset_060_seed_6001234,3nn_label_disagreement,3,0.462890625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_060_seed_6001234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,61,dataset_061_seed_6101234,3nn_label_disagreement,3,0.4772135416666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_061_seed_6101234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,62,dataset_062_seed_6201234,3nn_label_disagreement,3,0.4381510416666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_062_seed_6201234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,63,dataset_063_seed_6301234,3nn_label_disagreement,3,0.4576822916666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_063_seed_6301234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,64,dataset_064_seed_6401234,3nn_label_disagreement,3,0.4700520833333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_064_seed_6401234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,65,dataset_065_seed_6501234,3nn_label_disagreement,3,0.4635416666666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_065_seed_6501234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,66,dataset_066_seed_6601234,3nn_label_disagreement,3,0.4811197916666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_066_seed_6601234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,67,dataset_067_seed_6701234,3nn_label_disagreement,3,0.47265625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_067_seed_6701234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,68,dataset_068_seed_6801234,3nn_label_disagreement,3,0.46875,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_068_seed_6801234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,69,dataset_069_seed_6901234,3nn_label_disagreement,3,0.4908854166666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_069_seed_6901234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,70,dataset_070_seed_7001234,3nn_label_disagreement,3,0.4798177083333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_070_seed_7001234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,71,dataset_071_seed_7101234,3nn_label_disagreement,3,0.4713541666666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_071_seed_7101234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,72,dataset_072_seed_7201234,3nn_label_disagreement,3,0.4615885416666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_072_seed_7201234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,73,dataset_073_seed_7301234,3nn_label_disagreement,3,0.4485677083333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_073_seed_7301234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,74,dataset_074_seed_7401234,3nn_label_disagreement,3,0.44921875,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_074_seed_7401234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,75,dataset_075_seed_7501234,3nn_label_disagreement,3,0.4498697916666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_075_seed_7501234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,76,dataset_076_seed_7601234,3nn_label_disagreement,3,0.4479166666666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_076_seed_7601234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,77,dataset_077_seed_7701234,3nn_label_disagreement,3,0.4713541666666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_077_seed_7701234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,78,dataset_078_seed_7801234,3nn_label_disagreement,3,0.4524739583333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_078_seed_7801234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,79,dataset_079_seed_7901234,3nn_label_disagreement,3,0.494140625,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_079_seed_7901234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,80,dataset_080_seed_8001234,3nn_label_disagreement,3,0.4811197916666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_080_seed_8001234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,81,dataset_081_seed_8101234,3nn_label_disagreement,3,0.4479166666666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_081_seed_8101234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,82,dataset_082_seed_8201234,3nn_label_disagreement,3,0.4446614583333333,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_082_seed_8201234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,83,dataset_083_seed_8301234,3nn_label_disagreement,3,0.4830729166666667,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_083_seed_8301234/dataset.npz
spin_dynamics_90_dataset,spin_sweep_axis,0.05,,cell_beta_0p05_p_0p00,84,dataset_084_seed_8401234,3nn_label_disagreement,3,0.443359375,02_dnn_synthetic/01_dataset/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_084_seed_8401234/dataset.npz
