beta,radius,dataset_count,ref_count_min,ref_count_max,mean_ref_sd_logZ_inf_full,q95_ref_sd_logZ_inf_full,mean_ref_se_logZ_inf_full,q95_ref_se_logZ_inf_full,mean_ref_sd_dlogZ_inf_full_dr,q95_ref_sd_dlogZ_inf_full_dr,mean_ref_se_dlogZ_inf_full_dr,q95_ref_se_dlogZ_inf_full_dr
0.15,0.05,15,5,5,1.2012600197607675,2.476187099356137,0.5372198125675633,1.1073845358336696,2.7711336272591143,4.470226397814853,1.2392886330573887,1.9991460200656057
0.15,0.1,15,5,5,1.314118239489449,2.6808710339812354,0.5876915427941514,1.1989219741784383,3.515193257768026,5.069253661693155,1.5720422156836493,2.2670391565471233
0.15,0.25,15,5,5,1.7382511350676866,3.410823700592281,0.7773695399955031,1.5253667307583458,3.6134220660315313,5.115601681613071,1.6159714742088476,2.2877666211798124
0.15,0.5,15,5,5,2.4114997546778514,4.409292642798727,1.0784554758367484,1.9718956163975303,2.6070933873821125,3.6752326556770365,1.165927607575319,1.6436140102441863
0.15,1.0,15,5,5,3.327844038682718,5.7633266481820975,1.4882570978023995,2.5774380323742365,1.3548199842665551,1.9900332088280288,0.6058939164190426,0.8899699064843013
0.15,1.5,15,5,5,3.7129226236323554,6.424705706403717,1.6604694763277628,2.8732157389899036,0.7571391977790146,1.4184576134507891,0.3386029429327069,0.6343535293756168
0.15,2.0,15,5,5,3.937749976719826,6.947077372818088,1.761015325268749,3.1068274501143787,0.7055219699219419,1.0940851938272844,0.3155190168730048,0.4892897733147682
0.15,2.5,15,5,5,4.091190279850794,7.195982067130613,1.8296359149265526,3.218141013394701,0.5761251573856889,1.0048784055306101,0.2576510030924331,0.449395284777609
0.17,0.01,15,5,5,1.0853911617634397,1.9906155531065357,0.4854016839761043,0.8902303387629112,0.5669614811589965,1.247563743003011,0.25355288249909647,0.5579274671237621
0.17,0.05,15,5,5,1.1279683521127115,2.1159604103397966,0.5044427823584883,0.9462862630436267,2.524474974370946,4.888097666219384,1.1289795300380947,2.186023732464924
0.17,0.1,15,5,5,1.223602982550969,2.348792370782108,0.5472118892910912,1.050411881220337,3.2363622060319495,6.3759353281595725,1.4473451784997238,2.8514049627814466
0.17,0.25,15,5,5,1.5903188500017549,3.015000135724982,0.7112122109006431,1.3483490511304306,3.341551676314742,5.906879753904592,1.4943873397136274,2.6416369329295795
0.17,0.5,15,5,5,2.207285892987283,4.158576399631487,0.9871282604991782,1.859771903840467,2.518644725696496,4.174514850416097,1.126372163565735,1.8668997957225517
0.17,1.0,15,5,5,3.021107935617252,5.454297946240862,1.3510805422808467,2.439236195466412,1.1896908209289851,1.8654221234418822,0.5320459095609481,0.8342421349496105
0.17,1.5,15,5,5,3.456460249566543,6.296690700344674,1.5457760159113354,2.815965687852289,0.6748568458113852,1.2209601024359766,0.30180515646307027,0.54602995737239
0.17,2.0,15,5,5,3.7022121189086956,6.676658882269827,1.6556795930006756,2.985892624666619,0.6256812314337088,1.2032546784226146,0.27981315314631017,0.5381118510395231
0.17,2.5,15,5,5,3.729574986964366,6.9115276050173895,1.6679166396070428,3.0909291106370396,0.5054797934064718,0.9925134498738567,0.22605743586188418,0.4438655085001547
0.19,0.01,15,5,5,1.162167445936664,2.198284815729257,0.5197370820703384,0.9831028563752435,0.4164226149151592,0.9701001356909454,0.18622985486370275,0.4338419696773448
0.19,0.05,15,5,5,1.1898845497128618,2.250337798293742,0.5321325477069373,1.0063816578644031,1.8106840755481295,3.2291784524688016,0.8097625357403965,1.4441325062395627
0.19,0.1,15,5,5,1.250010762908695,2.3522457976756264,0.5590218076940429,1.0519563006781834,2.237994812670065,3.959181296805905,1.0008617068844348,1.7705997029807548
0.19,0.25,15,5,5,1.4452785036541906,2.824537178757245,0.6463481961179897,1.2631714273353347,2.2180962714041215,3.609809013933023,0.9919628086996877,1.6143556681891449
0.19,0.5,15,5,5,1.7470322362268214,3.6726422759621338,0.7812965678173286,1.6424555572181745,1.703216259696405,2.7569947127438494,0.7617014674128194,1.2329655182605506
0.19,1.0,15,5,5,2.225081272987923,4.859740430150943,0.9950865963725524,2.1733419909643152,0.8854151597680602,1.7630433873270048,0.39596969711004393,0.7884569722689347
0.19,1.5,15,5,5,2.5210286264648154,5.3683079794975725,1.1274382763996504,2.400780313262224,0.6507005582297,0.9279462372711449,0.29100213623973387,0.41499017320068576
0.19,2.0,15,5,5,2.740520538036489,5.758807080155688,1.2255980433567775,2.5754168201070398,0.5599391295206859,0.9118864860652266,0.2504123913740626,0.40780803412105227
0.19,2.5,15,5,5,2.922749858650481,6.305481486920226,1.3070934730340753,2.819897047124015,0.5576706634268312,0.7413111973612375,0.24939790249596008,0.33152444595629793
0.21,0.01,15,5,5,1.102288893395394,2.2051743771472117,0.49295857929502396,0.9861839619083848,0.3230109117389814,0.7244128435988226,0.14445487122450942,0.32396727241217815
0.21,0.05,15,5,5,1.1312462635834735,2.289276594665553,0.5059087089330583,1.0237956169942817,1.374053906257756,2.9302648734957293,0.6144955878282932,1.3104542898432543
0.21,0.1,15,5,5,1.1851009154151895,2.418067167795275,0.5299932414131184,1.081392512270125,1.7311826269365411,3.2779773949912214,0.7742084070593529,1.46595605678161
0.21,0.25,15,5,5,1.3588381635046687,2.7585373218516995,0.6076909008034825,1.2336553940261232,1.8119991138222802,3.6307860195484687,0.8103506387351994,1.623736870293251
0.21,0.5,15,5,5,1.6285218785089268,3.4396091069948116,0.7282971246383229,1.5382399558535491,1.4555590038136457,2.7146096908949806,0.6509457755578375,1.2140103602441734
0.21,1.0,15,5,5,2.0660515536862616,4.368752349517099,0.9239663438123074,1.9537654460764304,0.8001463393499306,1.2441111267688285,0.3578363213468119,0.5563834102037917
0.21,1.5,15,5,5,2.356788952929302,4.9386884038426375,1.0539880614740944,2.208648598136414,0.6592709034447676,1.1704041347724405,0.2948349111380401,0.5234206412996004
0.21,2.0,15,5,5,2.5222822235646505,5.065236712058027,1.1279989020659762,2.2652427220578555,0.4710895153820943,1.0902967966482806,0.21067763597635913,0.487595550591164
0.21,2.5,15,5,5,2.693136114107626,5.572027672118132,1.2044070847608563,2.4918865294732107,0.4056387779494255,0.7806108497577813,0.18140717636097162,0.3490997848064548
0.23,0.01,15,5,5,0.7907600906919746,1.2051468555724902,0.3536386633362308,0.5389580583860418,0.27556253993962415,0.7780378947684112,0.12323531427150008,0.3479491243545991
0.23,0.05,15,5,5,0.8103259189139205,1.2467451465814163,0.36238876772430173,0.5575613796747972,1.0079601135164713,1.8011651634897072,0.4507734664862469,0.8055055488535015
0.23,0.1,15,5,5,0.8565555916932676,1.3199748212161955,0.3830633059067401,0.5903106857655089,1.3229529459245484,2.3096331222386683,0.5916425436241787,1.0328993328821487
0.23,0.25,15,5,5,1.0142443960463483,1.5872942700252768,0.45358388307157077,0.7098595776144851,1.3707788598416608,2.3648915913096684,0.613030942545122,1.0576116715172137
0.23,0.5,15,5,5,1.2767507054845666,2.1373158347551846,0.5709802735568608,0.95583669917986,1.19021696910939,2.1479823825554694,0.5322812101804726,0.9606069243731976
0.23,1.0,15,5,5,1.691993191656673,2.955236335134747,0.7566823588022301,1.3216218669877289,0.7187048410248937,1.110404413999769,0.32141457605796836,0.4965879504438605
0.23,1.5,15,5,5,1.9721273989127541,3.3453650908674115,0.8819621848517526,1.4960927505468584,0.5136325871209722,0.8441375125306297,0.22970347605231536,0.3775097720752137
0.23,2.0,15,5,5,2.1229601090726558,3.4558948610684146,0.9494166234813652,1.5455231664882332,0.35693781558613064,0.5306865679431111,0.1596274438781744,0.2373302481333714
0.23,2.5,15,5,5,2.250822108842727,3.6355103764587495,1.0065982481263538,1.625849666933523,0.30590287606600397,0.5409263680792671,0.13680392507925565,0.2419096259694627
0.25,0.01,15,5,5,0.6024893878049798,1.1713709189448516,0.26944144537083353,0.5238530003254168,0.11872400528536864,0.2983845920571727,0.05309498927582571,0.1334416462556764
0.25,0.05,15,5,5,0.6109999586017272,1.1802670941551547,0.27324748833660384,0.5278314908274141,0.5484806166929086,0.9778978851907973,0.24528798865326992,0.43732922926798157
0.25,0.1,15,5,5,0.6311497381327676,1.1949355123777974,0.28225874368921194,0.5343914068810592,0.7491755313617929,1.4564837113314377,0.3350414830408989,0.6513593173316551
0.25,0.25,15,5,5,0.7006213431303538,1.3520104386849088,0.31332738994533527,0.6046374494377534,0.8145156745894749,1.7084323838955533,0.3642624834242328,0.7640341890704948
0.25,0.5,15,5,5,0.8086587465051803,1.5623070923737086,0.36164318555707076,0.6986849720555312,0.7265016000401507,1.4199419755502687,0.3249013926904282,0.635017356287149
0.25,1.0,15,5,5,1.005998258231211,1.9084036170995222,0.44989609813027504,0.8534640432682022,0.47793507197660984,1.025322451961942,0.21373906195419087,0.4585381402887329
0.25,1.5,15,5,5,1.1958579749526883,2.3643606319855297,0.5348039446858903,1.0573742192888016,0.4250178265180237,1.0928972070380487,0.19007375034870275,0.48875848947134765
0.25,2.0,15,5,5,1.3157297722697425,2.739625875320046,0.5884122421630923,1.2251979380265974,0.26598277536715526,0.5669179673741953,0.11895111331300315,0.2535334225429417
0.25,2.5,15,5,5,1.4196853448464493,2.7978716043521406,0.6349025875473783,1.2512462199295564,0.2463740281142575,0.409283673391738,0.11018181495078481,0.1830372231569496
0.27,0.01,15,5,5,0.5732037361645322,0.9986527942583339,0.2563445038041497,0.44661110677634924,0.14921931467678298,0.4209492726227352,0.06673290623464376,0.18825423773270542
0.27,0.05,15,5,5,0.5817395230424801,1.0115219371481734,0.26016182374425817,0.4523663624391171,0.4521619852600919,0.9189340764472564,0.20221298717656466,0.41095981235541074
0.27,0.1,15,5,5,0.5978120180155936,1.0545142832744376,0.26734966200983923,0.4715931241292224,0.6049722857952573,1.2855750772522356,0.27055183110832515,0.5749266525831085
0.27,0.25,15,5,5,0.6502509147287518,1.2225713010038202,0.2908010495529817,0.5467505072769797,0.6713194789587237,1.5302497637646497,0.30022319791428914,0.6843484988661501
0.27,0.5,15,5,5,0.7270649105523813,1.4948579385047498,0.3251533128099858,0.6685207934403641,0.6295379101710836,1.3141148931406221,0.28153791231113984,0.5876900462614607
0.27,1.0,15,5,5,0.8709045092616912,1.800275555918981,0.3894803369240473,0.8051077042532131,0.41067815376771,0.9176637804664611,0.18366085373974217,0.41039171872249014
0.27,1.5,15,5,5,0.9911391937974002,1.986952311027494,0.44325092249906495,0.8885920871015563,0.3743273084468618,0.5874690127153422,0.16740426150434284,0.2627241294212387
0.27,2.0,15,5,5,1.1165622053703774,2.2122025411727786,0.4993417984630489,0.989327052412022,0.27732762651221327,0.5155352199961928,0.12402468498399635,0.23055435934135918
0.27,2.5,15,5,5,1.211841115966189,2.3339025716710475,0.5419518226459209,1.0437529606236073,0.21062239962795182,0.39820040900358933,0.09419320063044533,0.17808063664004897
0.29,0.01,15,5,5,0.43525324504682084,0.7554593501286118,0.194651168670413,0.33785169222507805,0.09288342819355151,0.22280774345364368,0.04153873188480033,0.0996426520551362
0.29,0.05,15,5,5,0.44291710745341145,0.7687025014617004,0.19807855213268136,0.3437742095484987,0.413541530027197,0.6881996792848843,0.18494139453201658,0.30777225299491107
0.29,0.1,15,5,5,0.45827316865981943,0.8055022663449086,0.20494599147751646,0.36023156471547135,0.5211167951729898,0.9091778315402119,0.23305051564472787,0.4065966869919532
0.29,0.25,15,5,5,0.5062373735350225,0.9254107669413402,0.22639623599505268,0.4138562763982103,0.5667085451250079,1.0311298504528836,0.25343976606590496,0.46113528784836794
0.29,0.5,15,5,5,0.5975432062092202,1.1145018669508902,0.26722944571539814,0.4984203871105232,0.5213465747814904,0.9690113598877907,0.233153276209618,0.4333550543357226
0.29,1.0,15,5,5,0.7549632493431111,1.3641519483438205,0.3376298292090639,0.6100672976271129,0.34535540341875637,0.7482748899929823,0.1544476316882405,0.3346387039760971
0.29,1.5,15,5,5,0.8678716428153633,1.6388807077341747,0.38812399781591383,0.732929733901316,0.2781754855499021,0.6101442062873246,0.12440385907271831,0.27286478426722244
0.29,2.0,15,5,5,0.9478458984311386,1.7994059224455055,0.4238895722172774,0.8047187923407729,0.20309509534668144,0.45972509898939495,0.09082688781839618,0.20559531446062138
0.29,2.5,15,5,5,0.9628607221822595,1.793456556696155,0.43060440553281437,0.8020581550930616,0.15896844487077372,0.3098772252849478,0.07109284980169556,0.138581308083232
0.31,0.01,15,5,5,0.48320326157809845,1.1985919331993125,0.21609506796764807,0.5360266079833098,0.06685338228267362,0.17621068151846897,0.029897741461967654,0.07880381244737249
0.31,0.05,15,5,5,0.4875611406043268,1.2205636822225423,0.2180439707157215,0.5458526728634112,0.3563251052980718,0.7754365873482202,0.15935343150725179,0.3467857843102147
0.31,0.1,15,5,5,0.49773208291441207,1.258980148186163,0.22259255439583736,0.5630330387334038,0.5378618168866346,1.171319390393258,0.24053911701201183,0.5238299560565878
0.31,0.25,15,5,5,0.5311699048020904,1.3593581158843562,0.23754640294791318,0.6079234305766914,0.6258441163986019,1.2423907264355791,0.27988599751711296,0.55561402378506
0.31,0.5,15,5,5,0.5979279900884156,1.5190661754425108,0.2674015262975035,0.679347046122015,0.5024982579609177,0.9409517318603622,0.22472405267516737,0.4208064071971849
0.31,1.0,15,5,5,0.7604989107010982,1.8880382410835284,0.3401054522284395,0.8443563702363811,0.38141851239440605,0.8082030954531565,0.17057554431814761,0.3614394122118018
0.31,1.5,15,5,5,0.9030997909724989,2.317082904371365,0.40387850461607167,1.0362309767354032,0.37077323758755404,0.8555288059980448,0.1658148326966902,0.38260411338417155
0.31,2.0,15,5,5,1.0492843990100287,2.7235309148041873,0.46925424878328736,1.2180000528648702,0.28521565330051263,0.7085044883754752,0.12755231780539167,0.31685283967425437
0.31,2.5,15,5,5,1.1556657779590203,3.045818041711776,0.5168294477573094,1.362131237672564,0.20863271301783037,0.487121552648684,0.09330338572761479,0.21784738100554002
0.33,0.01,15,5,5,0.24381235173860022,0.5675431070528456,0.10903619844831983,0.25381299350632064,0.04333038268737217,0.14393072998169093,0.019377936236008836,0.06436777925804558
0.33,0.05,15,5,5,0.24715816269057592,0.5842644518972161,0.11053249059401601,0.26129100625576623,0.22986639460012304,0.5132109103388328,0.10279937681373312,0.22951489646243595
0.33,0.1,15,5,5,0.2537761927368681,0.6078819416351109,0.11349216360614509,0.2718530687581335,0.332898294470047,0.5991991362108786,0.14887664320575347,0.26797000012533606
0.33,0.25,15,5,5,0.28497217781563633,0.6715115427700031,0.12744343225838406,0.3003090914618969,0.48458350794449606,0.9471934477634654,0.21671233290784048,0.4235977874083009
0.33,0.5,15,5,5,0.35373193887660914,0.7858872433120502,0.15819373222817973,0.35145945973913223,0.523018477309477,1.04810690057987,0.23390097375048438,0.4687276554766405
0.33,1.0,15,5,5,0.4889741052419409,1.0711998562235874,0.21867586771162323,0.47905513920078857,0.2653104837136225,0.6748849082926198,0.11865045534540214,0.30181770638620187
0.33,1.5,15,5,5,0.5353515197464073,1.2384901563785418,0.2394164780021575,0.5538696358253529,0.26235350745870445,0.46016968319034657,0.11732805536263224,0.20579413855963144
0.33,2.0,15,5,5,0.5729096819717312,1.3581104550705712,0.2562129987713153,0.6073654596981941,0.2515459869970779,0.4798071490177648,0.11249478527854888,0.2145762802588187
0.33,2.5,15,5,5,0.610152435564486,1.5020705837356392,0.27286846451185015,0.6717463864471358,0.17536405226571744,0.37100939912801034,0.07842518833519405,0.16592044734831646
0.35,0.01,15,5,5,0.40862769884681144,0.9777699415760904,0.18274386242215654,0.4372720111440272,0.08540307459533106,0.3217634278796797,0.038193416056529116,0.14389697948246297
0.35,0.05,15,5,5,0.41385423006059097,1.0023122713177162,0.18508123823826367,0.44824767466972515,0.30649479221795894,0.6994331591663194,0.13706863802980593,0.31279601792266404
0.35,0.1,15,5,5,0.4241997681983402,1.0454775679539643,0.18970790354622843,0.4675517821792439,0.4787310235204936,0.9602839481591303,0.21409502230597488,0.4294520371571398
0.35,0.25,15,5,5,0.4581222552292502,1.1680935480252181,0.2048785009396224,0.5223873154926605,0.6611576150329671,1.3051947490515907,0.29567867421107025,0.5837008365510272
0.35,0.5,15,5,5,0.5328272288725633,1.3961068498203617,0.23828758080437804,0.6243579640102837,0.6548048225159553,1.3182912405126792,0.29283761902807215,0.5895577655857751
0.35,1.0,15,5,5,0.7444629011187573,1.9705952423044542,0.33293393072564914,0.8812769835860856,0.5678152551394082,1.2755840724240033,0.2539347018306207,0.5704585393912173
0.35,1.5,15,5,5,0.9115042863541406,2.6390459449238337,0.40763710921405844,1.1802172257189716,0.4197195999387348,1.1913436864405698,0.18770431139040553,0.5327850934892617
0.35,2.0,15,5,5,1.0165104388002733,2.8737774675532446,0.4545972881991101,1.2851923539312502,0.2727562275294841,0.5901276731693834,0.1219802932084652,0.263913118522104
0.35,2.5,15,5,5,1.086132138658485,3.3083263231984317,0.4857330589175199,1.4795285100847264,0.23298078847602038,0.48349783574690797,0.10419217609677624,0.2162268055408228
0.37,0.01,15,5,5,0.34101284152211825,0.6202594997716641,0.15250557896876382,0.2773884810358912,0.07450207899960158,0.18442399800029827,0.03331834262163373,0.08247691924219043
0.37,0.05,15,5,5,0.3453492634588759,0.6295589572144981,0.1544448858147061,0.28154732483509987,0.2735248693644445,0.4354274911453637,0.12232404028712951,0.19472909389464418
0.37,0.1,15,5,5,0.3518494472053252,0.6496204831473834,0.15735185635936608,0.2905191119787612,0.40661938916406853,0.675576896136242,0.1818457190280597,0.30212717275779044
0.37,0.25,15,5,5,0.38028158944765594,0.7493056822884868,0.17006709691932506,0.3350996883047833,0.6465685335476004,1.10065471360046,0.2891542386249575,0.4922277518732382
0.37,0.5,15,5,5,0.4676091950409803,1.0277485667460602,0.2091211894031179,0.4596231318044341,0.6359959426273708,1.3228007394805399,0.28442603222577145,0.5915744748330953
0.37,1.0,15,5,5,0.6375502610091117,1.4370205600400308,0.2851211445378215,0.6426551314628653,0.42091302101977024,0.8581207133489036,0.1882380255230008,0.3837632495897519
0.37,1.5,15,5,5,0.7411009534419356,1.6226879545310835,0.33143042201721495,0.7256881145203181,0.33249451533354346,0.6763038145023483,0.14869606768632984,0.3024522605339318
0.37,2.0,15,5,5,0.8417405856813952,1.818249752011348,0.37643783380081713,0.8131460091139018,0.2663696151860734,0.5396100693815198,0.11912411333930406,0.24132095929609124
0.37,2.5,15,5,5,0.8934234235679699,1.8417913828886725,0.3995511015577136,0.8236741465024829,0.16878836265859082,0.3648634123095702,0.07548445054309924,0.1631718784853465
0.39,0.01,15,5,5,0.22414987335493955,0.7298562955640321,0.10024287079392273,0.3264016581374708,0.03833123302288902,0.11050338211292249,0.017142248540112922,0.049418614829625805
0.39,0.05,15,5,5,0.22537043454735922,0.7334643398040369,0.10078872235331245,0.32801522457476623,0.24260304804893557,0.5424342244223386,0.10849538139721353,0.2425839598261451
0.39,0.1,15,5,5,0.22801229238126206,0.7351754609369795,0.10197019709401187,0.3287804612089654,0.3854327661795145,0.8395635863766708,0.17237077318663527,0.3754642501143505
0.39,0.25,15,5,5,0.24705696145793044,0.7484499813805118,0.11048723202689559,0.3347170072250552,0.5027743343032939,1.0860514108809418,0.22484751776887385,0.48569695635786814
0.39,0.5,15,5,5,0.2988039867322802,0.8192450214500342,0.13362920525626473,0.36637751163810994,0.3814333857917709,0.8138158653655614,0.17058219590366042,0.3639495192250424
0.39,1.0,15,5,5,0.3642490880486205,0.9942247958941819,0.1628971443238043,0.4446308457070489,0.28376366676975306,0.6692593529160823,0.12690296968835318,0.29930188153957643
0.39,1.5,15,5,5,0.41001152458096585,1.2046621515472027,0.18336272810427312,0.5387412921561396,0.2605792076857553,0.5493625712428374,0.11653456438167689,0.2456824107186111
0.39,2.0,15,5,5,0.4851344066477201,1.441714434869114,0.2169587022976656,0.6447542961020063,0.23721444073268877,0.6312010961723586,0.10608552294457742,0.28228171170275523
