eta,replicate,flip_rate_train,flip_rate_test,abs_flip_error_train,abs_flip_error_test
0.04,0,0.044921875,0.03466796875,0.004921874999999999,0.005332031250000001
0.04,1,0.0546875,0.03515625,0.0146875,0.004843750000000001
0.04,2,0.033203125,0.04150390625,0.006796875000000001,0.0015039062499999992
0.04,3,0.03125,0.0380859375,0.00875,0.0019140625000000008
0.04,4,0.04296875,0.03564453125,0.002968749999999999,0.004355468750000001
0.04,5,0.041015625,0.04150390625,0.0010156249999999992,0.0015039062499999992
0.04,6,0.044921875,0.0390625,0.004921874999999999,0.0009375000000000008
0.04,7,0.046875,0.04541015625,0.006874999999999999,0.005410156249999999
0.04,8,0.03515625,0.033203125,0.004843750000000001,0.006796875000000001
0.04,9,0.041015625,0.0341796875,0.0010156249999999992,0.005820312500000001
0.04,10,0.05078125,0.04443359375,0.01078125,0.004433593749999999
0.04,11,0.044921875,0.04052734375,0.004921874999999999,0.0005273437499999992
0.04,12,0.044921875,0.03759765625,0.004921874999999999,0.002402343750000001
0.04,13,0.029296875,0.029296875,0.010703125,0.010703125
0.04,14,0.033203125,0.03857421875,0.006796875000000001,0.0014257812500000008
0.04,15,0.0390625,0.0439453125,0.0009375000000000008,0.003945312499999999
0.04,16,0.037109375,0.03564453125,0.002890625000000001,0.004355468750000001
0.04,17,0.0390625,0.03759765625,0.0009375000000000008,0.002402343750000001
0.04,18,0.046875,0.0400390625,0.006874999999999999,3.906249999999917e-05
0.04,19,0.037109375,0.041015625,0.002890625000000001,0.0010156249999999992
0.06,0,0.05859375,0.05078125,0.0014062499999999978,0.009218749999999998
0.06,1,0.087890625,0.05712890625,0.027890625000000002,0.0028710937499999978
0.06,2,0.052734375,0.06494140625,0.007265624999999998,0.004941406250000002
0.06,3,0.048828125,0.05810546875,0.011171874999999998,0.0018945312499999978
0.06,4,0.064453125,0.0576171875,0.004453125000000002,0.0023828124999999978
0.06,5,0.05859375,0.05908203125,0.0014062499999999978,0.0009179687499999978
0.06,6,0.052734375,0.0634765625,0.007265624999999998,0.0034765625000000022
0.06,7,0.06640625,0.06982421875,0.006406250000000002,0.009824218750000002
0.06,8,0.056640625,0.05517578125,0.0033593749999999978,0.004824218749999998
0.06,9,0.0625,0.0556640625,0.0025000000000000022,0.004335937499999998
0.06,10,0.08203125,0.0576171875,0.022031250000000002,0.0023828124999999978
0.06,11,0.060546875,0.06201171875,0.0005468750000000022,0.0020117187500000022
0.06,12,0.07421875,0.05908203125,0.014218750000000002,0.0009179687499999978
0.06,13,0.046875,0.05078125,0.013124999999999998,0.009218749999999998
0.06,14,0.04296875,0.05859375,0.017031249999999998,0.0014062499999999978
0.06,15,0.0625,0.0654296875,0.0025000000000000022,0.005429687500000002
0.06,16,0.056640625,0.05419921875,0.0033593749999999978,0.005800781249999998
0.06,17,0.048828125,0.05908203125,0.011171874999999998,0.0009179687499999978
0.06,18,0.0703125,0.0556640625,0.010312500000000002,0.004335937499999998
0.06,19,0.05078125,0.05810546875,0.009218749999999998,0.0018945312499999978
0.08,0,0.08984375,0.07373046875,0.009843749999999998,0.006269531250000002
0.08,1,0.11328125,0.080078125,0.03328125,7.812499999999833e-05
0.08,2,0.0703125,0.08349609375,0.009687500000000002,0.0034960937499999983
0.08,3,0.07421875,0.076171875,0.005781250000000002,0.0038281250000000017
0.08,4,0.07421875,0.07568359375,0.005781250000000002,0.004316406250000002
0.08,5,0.08203125,0.07763671875,0.0020312499999999983,0.0023632812500000017
0.08,6,0.076171875,0.08251953125,0.0038281250000000017,0.0025195312499999983
0.08,7,0.080078125,0.09130859375,7.812499999999833e-05,0.011308593749999998
0.08,8,0.076171875,0.072265625,0.0038281250000000017,0.007734375000000002
0.08,9,0.076171875,0.07421875,0.0038281250000000017,0.005781250000000002
0.08,10,0.099609375,0.07275390625,0.019609375,0.007246093750000002
0.08,11,0.08984375,0.08447265625,0.009843749999999998,0.004472656249999998
0.08,12,0.099609375,0.07568359375,0.019609375,0.004316406250000002
0.08,13,0.064453125,0.0712890625,0.015546875000000002,0.008710937500000002
0.08,14,0.068359375,0.080078125,0.011640625000000002,7.812499999999833e-05
0.08,15,0.0859375,0.0830078125,0.005937499999999998,0.0030078124999999983
0.08,16,0.07421875,0.07373046875,0.005781250000000002,0.006269531250000002
0.08,17,0.06640625,0.0771484375,0.013593750000000002,0.0028515625000000017
0.08,18,0.091796875,0.07666015625,0.011796874999999998,0.0033398437500000017
0.08,19,0.0703125,0.0791015625,0.009687500000000002,0.0008984375000000017
0.1,0,0.103515625,0.09619140625,0.0035156249999999944,0.0038085937500000056
0.1,1,0.13671875,0.10302734375,0.036718749999999994,0.0030273437499999944
0.1,2,0.091796875,0.1025390625,0.008203125000000006,0.0025390624999999944
0.1,3,0.099609375,0.095703125,0.00039062500000000555,0.0042968750000000056
0.1,4,0.099609375,0.0986328125,0.00039062500000000555,0.0013671875000000056
0.1,5,0.099609375,0.09814453125,0.00039062500000000555,0.0018554687500000056
0.1,6,0.095703125,0.1103515625,0.0042968750000000056,0.010351562499999994
0.1,7,0.095703125,0.1142578125,0.0042968750000000056,0.014257812499999994
0.1,8,0.095703125,0.0947265625,0.0042968750000000056,0.0052734375000000056
0.1,9,0.095703125,0.09326171875,0.0042968750000000056,0.0067382812500000056
0.1,10,0.11328125,0.09423828125,0.013281249999999994,0.0057617187500000056
0.1,11,0.109375,0.1015625,0.009374999999999994,0.0015624999999999944
0.1,12,0.125,0.0908203125,0.024999999999999994,0.009179687500000006
0.1,13,0.08203125,0.09521484375,0.017968750000000006,0.0047851562500000056
0.1,14,0.083984375,0.0986328125,0.016015625000000006,0.0013671875000000056
0.1,15,0.109375,0.1005859375,0.009374999999999994,0.0005859374999999944
0.1,16,0.091796875,0.08935546875,0.008203125000000006,0.010644531250000006
0.1,17,0.091796875,0.0986328125,0.008203125000000006,0.0013671875000000056
0.1,18,0.109375,0.10546875,0.009374999999999994,0.0054687499999999944
0.1,19,0.08984375,0.0986328125,0.010156250000000006,0.0013671875000000056
0.12,0,0.12890625,0.1162109375,0.008906250000000004,0.0037890624999999956
0.12,1,0.15625,0.12646484375,0.036250000000000004,0.0064648437500000044
0.12,2,0.11328125,0.12109375,0.0067187499999999956,0.0010937500000000044
0.12,3,0.111328125,0.1142578125,0.008671874999999996,0.0057421874999999956
0.12,4,0.13671875,0.11572265625,0.016718750000000004,0.0042773437499999956
0.12,5,0.1171875,0.11572265625,0.0028124999999999956,0.0042773437499999956
0.12,6,0.111328125,0.1328125,0.008671874999999996,0.012812500000000004
0.12,7,0.119140625,0.130859375,0.0008593749999999956,0.010859375000000004
0.12,8,0.103515625,0.11181640625,0.016484374999999996,0.008183593749999996
0.12,9,0.11328125,0.1123046875,0.0067187499999999956,0.0076953124999999956
0.12,10,0.134765625,0.1142578125,0.014765625000000004,0.0057421874999999956
0.12,11,0.130859375,0.12060546875,0.010859375000000004,0.0006054687500000044
0.12,12,0.142578125,0.10986328125,0.022578125000000004,0.010136718749999996
0.12,13,0.111328125,0.11376953125,0.008671874999999996,0.0062304687499999956
0.12,14,0.1015625,0.12548828125,0.018437499999999996,0.0054882812500000044
0.12,15,0.125,0.11279296875,0.0050000000000000044,0.0072070312499999956
0.12,16,0.10546875,0.107421875,0.014531249999999996,0.012578124999999996
0.12,17,0.11328125,0.12109375,0.0067187499999999956,0.0010937500000000044
0.12,18,0.119140625,0.12890625,0.0008593749999999956,0.008906250000000004
0.12,19,0.11328125,0.1201171875,0.0067187499999999956,0.00011718750000000444
0.15,0,0.1640625,0.14111328125,0.014062500000000006,0.008886718749999994
0.15,1,0.171875,0.1572265625,0.021875000000000006,0.0072265625000000056
0.15,2,0.138671875,0.15576171875,0.011328124999999994,0.0057617187500000056
0.15,3,0.146484375,0.14453125,0.0035156249999999944,0.0054687499999999944
0.15,4,0.17578125,0.1474609375,0.025781250000000006,0.0025390624999999944
0.15,5,0.1484375,0.1396484375,0.0015624999999999944,0.010351562499999994
0.15,6,0.138671875,0.16162109375,0.011328124999999994,0.011621093750000006
0.15,7,0.158203125,0.15966796875,0.008203125000000006,0.009667968750000006
0.15,8,0.1328125,0.14697265625,0.017187499999999994,0.0030273437499999944
0.15,9,0.134765625,0.1484375,0.015234374999999994,0.0015624999999999944
0.15,10,0.16796875,0.14453125,0.017968750000000006,0.0054687499999999944
0.15,11,0.158203125,0.15087890625,0.008203125000000006,0.0008789062500000056
0.15,12,0.162109375,0.138671875,0.012109375000000006,0.011328124999999994
0.15,13,0.142578125,0.142578125,0.0074218749999999944,0.0074218749999999944
0.15,14,0.130859375,0.15478515625,0.019140624999999994,0.0047851562500000056
0.15,15,0.162109375,0.142578125,0.012109375000000006,0.0074218749999999944
0.15,16,0.14453125,0.13720703125,0.0054687499999999944,0.012792968749999994
0.15,17,0.142578125,0.1533203125,0.0074218749999999944,0.0033203125000000056
0.15,18,0.15625,0.158203125,0.0062500000000000056,0.008203125000000006
0.15,19,0.142578125,0.1474609375,0.0074218749999999944,0.0025390624999999944
0.18,0,0.203125,0.16845703125,0.023125000000000007,0.011542968749999993
0.18,1,0.203125,0.1884765625,0.023125000000000007,0.008476562500000007
0.18,2,0.166015625,0.18408203125,0.013984374999999993,0.004082031250000007
0.18,3,0.16796875,0.171875,0.012031249999999993,0.008124999999999993
0.18,4,0.19140625,0.17431640625,0.011406250000000007,0.005683593749999993
0.18,5,0.1796875,0.1689453125,0.00031249999999999334,0.011054687499999993
0.18,6,0.16015625,0.189453125,0.019843749999999993,0.009453125000000007
0.18,7,0.197265625,0.18798828125,0.017265625000000007,0.007988281250000007
0.18,8,0.166015625,0.181640625,0.013984374999999993,0.0016406250000000067
0.18,9,0.17578125,0.18408203125,0.004218749999999993,0.004082031250000007
0.18,10,0.1953125,0.171875,0.015312500000000007,0.008124999999999993
0.18,11,0.19140625,0.18017578125,0.011406250000000007,0.00017578125000000666
0.18,12,0.19921875,0.171875,0.019218750000000007,0.008124999999999993
0.18,13,0.181640625,0.173828125,0.0016406250000000067,0.006171874999999993
0.18,14,0.166015625,0.18212890625,0.013984374999999993,0.0021289062500000067
0.18,15,0.181640625,0.17529296875,0.0016406250000000067,0.004707031249999993
0.18,16,0.177734375,0.16650390625,0.0022656249999999933,0.013496093749999993
0.18,17,0.177734375,0.18212890625,0.0022656249999999933,0.0021289062500000067
0.18,18,0.1953125,0.18310546875,0.015312500000000007,0.0031054687500000067
0.18,19,0.173828125,0.181640625,0.006171874999999993,0.0016406250000000067
0.2,0,0.22265625,0.18701171875,0.02265624999999999,0.012988281250000011
0.2,1,0.23046875,0.20947265625,0.03046874999999999,0.009472656249999989
0.2,2,0.1875,0.19921875,0.012500000000000011,0.0007812500000000111
0.2,3,0.1875,0.18896484375,0.012500000000000011,0.011035156250000011
0.2,4,0.208984375,0.19189453125,0.008984374999999989,0.008105468750000011
0.2,5,0.19921875,0.18701171875,0.0007812500000000111,0.012988281250000011
0.2,6,0.189453125,0.20654296875,0.010546875000000011,0.006542968749999989
0.2,7,0.208984375,0.20654296875,0.008984374999999989,0.006542968749999989
0.2,8,0.185546875,0.19970703125,0.014453125000000011,0.0002929687500000111
0.2,9,0.189453125,0.20361328125,0.010546875000000011,0.003613281249999989
0.2,10,0.2109375,0.1962890625,0.010937499999999989,0.003710937500000011
0.2,11,0.212890625,0.19921875,0.012890624999999989,0.0007812500000000111
0.2,12,0.2109375,0.19287109375,0.010937499999999989,0.007128906250000011
0.2,13,0.193359375,0.1923828125,0.006640625000000011,0.007617187500000011
0.2,14,0.19140625,0.1982421875,0.008593750000000011,0.001757812500000011
0.2,15,0.20703125,0.185546875,0.007031249999999989,0.014453125000000011
0.2,16,0.193359375,0.18310546875,0.006640625000000011,0.01689453125000001
0.2,17,0.203125,0.2041015625,0.003124999999999989,0.004101562499999989
0.2,18,0.20703125,0.203125,0.007031249999999989,0.003124999999999989
0.2,19,0.193359375,0.20361328125,0.006640625000000011,0.003613281249999989
0.25,0,0.271484375,0.23828125,0.021484375,0.01171875
0.25,1,0.283203125,0.26123046875,0.033203125,0.01123046875
0.25,2,0.21875,0.25439453125,0.03125,0.00439453125
0.25,3,0.216796875,0.2470703125,0.033203125,0.0029296875
0.25,4,0.24609375,0.24365234375,0.00390625,0.00634765625
0.25,5,0.22265625,0.2392578125,0.02734375,0.0107421875
0.25,6,0.232421875,0.26171875,0.017578125,0.01171875
0.25,7,0.251953125,0.26123046875,0.001953125,0.01123046875
0.25,8,0.2265625,0.24755859375,0.0234375,0.00244140625
0.25,9,0.236328125,0.2568359375,0.013671875,0.0068359375
0.25,10,0.26171875,0.25341796875,0.01171875,0.00341796875
0.25,11,0.251953125,0.25732421875,0.001953125,0.00732421875
0.25,12,0.267578125,0.2421875,0.017578125,0.0078125
0.25,13,0.23046875,0.2431640625,0.01953125,0.0068359375
0.25,14,0.2578125,0.2490234375,0.0078125,0.0009765625
0.25,15,0.25390625,0.2421875,0.00390625,0.0078125
0.25,16,0.2421875,0.2333984375,0.0078125,0.0166015625
0.25,17,0.2578125,0.25390625,0.0078125,0.00390625
0.25,18,0.26171875,0.2568359375,0.01171875,0.0068359375
0.25,19,0.244140625,0.25634765625,0.005859375,0.00634765625
0.3,0,0.30859375,0.28466796875,0.008593750000000011,0.015332031249999989
0.3,1,0.33984375,0.314453125,0.03984375000000001,0.014453125000000011
0.3,2,0.275390625,0.30712890625,0.02460937499999999,0.007128906250000011
0.3,3,0.2734375,0.2919921875,0.02656249999999999,0.008007812499999989
0.3,4,0.298828125,0.28125,0.001171874999999989,0.01874999999999999
0.3,5,0.291015625,0.291015625,0.008984374999999989,0.008984374999999989
0.3,6,0.28515625,0.3125,0.014843749999999989,0.012500000000000011
0.3,7,0.298828125,0.30615234375,0.001171874999999989,0.006152343750000011
0.3,8,0.267578125,0.29248046875,0.03242187499999999,0.007519531249999989
0.3,9,0.287109375,0.310546875,0.012890624999999989,0.010546875000000011
0.3,10,0.3046875,0.30322265625,0.004687500000000011,0.003222656250000011
0.3,11,0.298828125,0.30078125,0.001171874999999989,0.0007812500000000111
0.3,12,0.3203125,0.28955078125,0.02031250000000001,0.010449218749999989
0.3,13,0.283203125,0.29833984375,0.01679687499999999,0.001660156249999989
0.3,14,0.30078125,0.3017578125,0.0007812500000000111,0.001757812500000011
0.3,15,0.318359375,0.2919921875,0.01835937500000001,0.008007812499999989
0.3,16,0.294921875,0.2890625,0.005078124999999989,0.010937499999999989
0.3,17,0.3046875,0.298828125,0.004687500000000011,0.001171874999999989
0.3,18,0.30859375,0.30517578125,0.008593750000000011,0.005175781250000011
0.3,19,0.306640625,0.3154296875,0.006640625000000011,0.015429687500000011
0.35,0,0.35546875,0.33447265625,0.005468750000000022,0.015527343749999978
0.35,1,0.39453125,0.361328125,0.04453125000000002,0.011328125000000022
0.35,2,0.3359375,0.36474609375,0.014062499999999978,0.014746093750000022
0.35,3,0.318359375,0.33642578125,0.03164062499999998,0.013574218749999978
0.35,4,0.345703125,0.3330078125,0.004296874999999978,0.016992187499999978
0.35,5,0.33984375,0.34716796875,0.010156249999999978,0.002832031249999978
0.35,6,0.3359375,0.36279296875,0.014062499999999978,0.012792968750000022
0.35,7,0.353515625,0.35888671875,0.003515625000000022,0.008886718750000022
0.35,8,0.318359375,0.34765625,0.03164062499999998,0.002343749999999978
0.35,9,0.353515625,0.3681640625,0.003515625000000022,0.018164062500000022
0.35,10,0.3515625,0.353515625,0.0015625000000000222,0.003515625000000022
0.35,11,0.357421875,0.34814453125,0.007421875000000022,0.0018554687499999778
0.35,12,0.384765625,0.333984375,0.03476562500000002,0.016015624999999978
0.35,13,0.33984375,0.35693359375,0.010156249999999978,0.006933593750000022
0.35,14,0.341796875,0.35205078125,0.008203124999999978,0.002050781250000022
0.35,15,0.37890625,0.3408203125,0.028906250000000022,0.009179687499999978
0.35,16,0.35546875,0.33984375,0.005468750000000022,0.010156249999999978
0.35,17,0.376953125,0.353515625,0.026953125000000022,0.003515625000000022
0.35,18,0.36328125,0.35205078125,0.013281250000000022,0.002050781250000022
0.35,19,0.359375,0.36083984375,0.009375000000000022,0.010839843750000022
0.4,0,0.404296875,0.38427734375,0.004296874999999978,0.015722656250000022
0.4,1,0.453125,0.40869140625,0.05312499999999998,0.008691406249999978
0.4,2,0.400390625,0.41259765625,0.0003906249999999778,0.012597656249999978
0.4,3,0.36328125,0.3916015625,0.03671875000000002,0.008398437500000022
0.4,4,0.392578125,0.3837890625,0.007421875000000022,0.016210937500000022
0.4,5,0.41796875,0.39794921875,0.017968749999999978,0.002050781250000022
0.4,6,0.384765625,0.41845703125,0.015234375000000022,0.018457031249999978
0.4,7,0.400390625,0.40478515625,0.0003906249999999778,0.004785156249999978
0.4,8,0.37109375,0.39599609375,0.028906250000000022,0.004003906250000022
0.4,9,0.404296875,0.41064453125,0.004296874999999978,0.010644531249999978
0.4,10,0.40625,0.4033203125,0.006249999999999978,0.003320312499999978
0.4,11,0.40234375,0.39892578125,0.002343749999999978,0.0010742187500000222
0.4,12,0.44140625,0.38671875,0.04140624999999998,0.013281250000000022
0.4,13,0.373046875,0.41259765625,0.026953125000000022,0.012597656249999978
0.4,14,0.3984375,0.40771484375,0.0015625000000000222,0.007714843749999978
0.4,15,0.4296875,0.3935546875,0.029687499999999978,0.006445312500000022
0.4,16,0.38671875,0.39306640625,0.013281250000000022,0.006933593750000022
0.4,17,0.419921875,0.404296875,0.019921874999999978,0.004296874999999978
0.4,18,0.412109375,0.4013671875,0.012109374999999978,0.0013671874999999778
0.4,19,0.4140625,0.412109375,0.014062499999999978,0.012109374999999978
0.45,0,0.447265625,0.4306640625,0.002734375000000011,0.01933593750000001
0.45,1,0.498046875,0.4580078125,0.04804687499999999,0.008007812499999989
0.45,2,0.4375,0.45556640625,0.012500000000000011,0.005566406249999989
0.45,3,0.419921875,0.43359375,0.03007812500000001,0.01640625000000001
0.45,4,0.458984375,0.443359375,0.008984374999999989,0.006640625000000011
0.45,5,0.4609375,0.45361328125,0.010937499999999989,0.003613281249999989
0.45,6,0.4453125,0.453125,0.004687500000000011,0.003124999999999989
0.45,7,0.443359375,0.447265625,0.006640625000000011,0.002734375000000011
0.45,8,0.423828125,0.43603515625,0.02617187500000001,0.013964843750000011
0.45,9,0.439453125,0.4560546875,0.010546875000000011,0.006054687499999989
0.45,10,0.4609375,0.44775390625,0.010937499999999989,0.002246093750000011
0.45,11,0.451171875,0.4609375,0.001171874999999989,0.010937499999999989
0.45,12,0.5,0.4345703125,0.04999999999999999,0.015429687500000011
0.45,13,0.421875,0.462890625,0.02812500000000001,0.012890624999999989
0.45,14,0.4453125,0.4521484375,0.004687500000000011,0.002148437499999989
0.45,15,0.4765625,0.44384765625,0.02656249999999999,0.006152343750000011
0.45,16,0.458984375,0.44873046875,0.008984374999999989,0.001269531250000011
0.45,17,0.466796875,0.4619140625,0.01679687499999999,0.011914062499999989
0.45,18,0.451171875,0.4521484375,0.001171874999999989,0.002148437499999989
0.45,19,0.458984375,0.4580078125,0.008984374999999989,0.008007812499999989
0.5,0,0.50390625,0.4833984375,0.00390625,0.0166015625
0.5,1,0.54296875,0.50341796875,0.04296875,0.00341796875
0.5,2,0.4921875,0.509765625,0.0078125,0.009765625
0.5,3,0.478515625,0.490234375,0.021484375,0.009765625
0.5,4,0.51171875,0.4921875,0.01171875,0.0078125
0.5,5,0.5234375,0.5,0.0234375,0.0
0.5,6,0.490234375,0.50146484375,0.009765625,0.00146484375
0.5,7,0.51171875,0.498046875,0.01171875,0.001953125
0.5,8,0.46875,0.47607421875,0.03125,0.02392578125
0.5,9,0.49609375,0.50390625,0.00390625,0.00390625
0.5,10,0.513671875,0.50634765625,0.013671875,0.00634765625
0.5,11,0.5,0.5068359375,0.0,0.0068359375
0.5,12,0.529296875,0.47607421875,0.029296875,0.02392578125
0.5,13,0.478515625,0.517578125,0.021484375,0.017578125
0.5,14,0.49609375,0.50537109375,0.00390625,0.00537109375
0.5,15,0.513671875,0.4931640625,0.013671875,0.0068359375
0.5,16,0.505859375,0.49365234375,0.005859375,0.00634765625
0.5,17,0.5234375,0.509765625,0.0234375,0.009765625
0.5,18,0.5078125,0.50439453125,0.0078125,0.00439453125
0.5,19,0.51171875,0.51318359375,0.01171875,0.01318359375
