train_row,mnist_index,digit,label_very_low_tv_spectral_teacher,label_real_even_odd,label_teacher_nn,label_random_label
260,47438,8,-1,1,1,-1
261,49864,3,1,-1,-1,-1
262,56429,0,1,1,-1,1
263,38565,3,-1,-1,-1,1
264,11994,7,1,-1,1,1
265,15949,5,-1,-1,1,1
266,18246,4,1,1,1,-1
267,30052,4,1,1,-1,1
268,50028,2,1,1,-1,1
269,4110,6,1,1,-1,1
270,29666,1,-1,-1,-1,-1
271,33555,5,-1,-1,1,1
272,12233,7,-1,-1,1,1
273,41614,0,1,1,1,-1
274,51149,1,-1,-1,-1,1
275,27589,3,1,-1,-1,1
276,66518,5,-1,-1,-1,1
277,13964,6,1,1,1,-1
278,7019,4,-1,1,1,-1
279,58064,3,1,-1,1,1
280,13309,6,-1,1,1,1
281,16733,5,1,-1,-1,-1
282,10488,0,-1,1,1,1
283,28138,7,-1,-1,1,1
284,60858,2,-1,1,-1,-1
285,33689,6,1,1,1,1
286,1720,9,1,-1,1,1
287,20468,4,-1,1,-1,1
288,16041,7,-1,-1,-1,-1
289,51214,2,-1,1,-1,-1
290,9385,4,1,1,1,-1
291,47295,8,1,1,1,-1
292,41285,0,-1,1,-1,-1
293,68010,3,1,-1,-1,-1
294,34370,5,1,-1,1,-1
295,54496,6,1,1,1,-1
296,40281,3,-1,-1,1,1
297,34521,2,1,1,-1,-1
298,16553,5,1,-1,1,-1
299,18809,7,-1,-1,1,1
300,42284,3,1,-1,1,-1
301,18380,3,1,-1,-1,1
302,24230,9,1,-1,-1,1
303,41128,9,1,-1,-1,-1
304,45849,8,-1,1,1,-1
305,35015,3,-1,-1,1,1
306,16766,6,1,1,1,1
307,30150,6,1,1,-1,-1
308,16781,2,-1,1,1,-1
309,18883,9,-1,-1,1,1
310,45208,8,-1,1,1,1
311,32168,5,1,-1,-1,-1
312,32931,3,1,-1,1,1
313,44013,4,-1,1,1,1
314,68975,3,-1,-1,1,-1
315,47216,1,-1,-1,-1,-1
316,62303,3,1,-1,-1,1
317,632,7,-1,-1,1,1
318,41406,0,-1,1,1,1
319,44270,8,1,1,1,-1
320,47297,8,-1,1,1,-1
321,64413,6,-1,1,-1,-1
322,52741,1,-1,-1,-1,1
323,55327,6,1,1,-1,-1
324,52687,7,-1,-1,1,1
325,24888,1,1,-1,-1,-1
326,51015,1,-1,-1,-1,-1
327,56546,7,-1,-1,1,-1
328,55749,2,1,1,1,1
329,5954,4,-1,1,-1,1
330,35446,7,-1,-1,1,-1
331,873,2,-1,1,-1,-1
332,47619,0,-1,1,1,1
333,43077,2,-1,1,-1,1
334,47998,1,1,-1,-1,1
335,32286,4,-1,1,1,1
336,20644,9,-1,-1,1,1
337,30369,2,1,1,-1,1
338,53080,1,1,-1,-1,-1
339,61815,4,1,1,-1,-1
340,35488,0,1,1,1,1
341,1194,9,1,-1,-1,1
342,24141,7,-1,-1,1,1
343,42375,3,1,-1,-1,-1
344,29106,2,1,1,-1,-1
345,28791,7,-1,-1,1,1
346,5267,6,1,1,1,1
347,69000,7,-1,-1,1,-1
348,17702,9,1,-1,-1,1
349,38573,0,-1,1,-1,1
350,42535,2,1,1,1,1
351,68876,3,1,-1,1,-1
352,52609,0,-1,1,-1,-1
353,1533,3,-1,-1,1,-1
354,19417,9,-1,-1,1,1
355,19451,6,1,1,1,-1
356,51760,2,1,1,1,1
357,37037,6,1,1,-1,-1
358,27363,6,1,1,1,1
359,6146,0,1,1,1,1
360,58425,7,-1,-1,1,1
361,56628,8,1,1,-1,1
362,54546,9,1,-1,1,1
363,31121,4,-1,1,-1,1
364,34776,6,1,1,-1,1
365,1655,7,-1,-1,1,-1
366,63528,3,1,-1,-1,-1
367,14315,6,1,1,-1,-1
368,4721,4,1,1,-1,1
369,34819,8,-1,1,1,-1
370,48059,0,-1,1,-1,1
371,53522,2,-1,1,-1,-1
372,932,9,1,-1,-1,1
373,68743,4,-1,1,1,1
374,47305,5,-1,-1,-1,1
375,37449,9,-1,-1,1,1
376,51704,7,1,-1,1,1
377,20426,3,1,-1,-1,-1
378,25757,0,-1,1,1,1
379,64575,4,1,1,1,1
380,64591,6,1,1,-1,1
381,62090,4,1,1,-1,-1
382,49450,3,1,-1,-1,1
383,14050,2,1,1,-1,1
384,54698,9,1,-1,-1,1
385,20859,8,-1,1,-1,1
386,22691,0,-1,1,-1,1
387,40531,9,-1,-1,-1,1
388,31676,9,1,-1,1,-1
389,23122,4,-1,1,1,1
390,10493,3,1,-1,-1,-1
391,62854,9,-1,-1,1,-1
392,47074,8,1,1,1,1
393,9913,3,1,-1,1,-1
394,42540,8,1,1,1,-1
395,23422,8,1,1,-1,1
396,5640,3,1,-1,-1,-1
397,58750,7,-1,-1,1,-1
398,55114,9,-1,-1,1,-1
399,61038,1,1,-1,1,1
400,30287,4,1,1,-1,1
401,60603,8,1,1,1,1
402,41789,0,-1,1,1,1
403,31887,1,1,-1,-1,1
404,8986,5,1,-1,1,1
405,977,6,-1,1,1,-1
406,26209,3,1,-1,1,-1
407,27409,1,1,-1,1,1
408,47323,9,-1,-1,1,-1
409,9994,0,1,1,1,-1
410,60638,5,-1,-1,1,1
411,32225,8,-1,1,-1,-1
412,43943,3,-1,-1,-1,1
413,17180,1,1,-1,1,-1
414,56468,5,1,-1,-1,1
415,11863,3,-1,-1,-1,-1
416,39599,8,-1,1,1,1
417,400,2,1,1,-1,1
418,17122,0,-1,1,1,1
419,14600,7,1,-1,1,-1
420,38604,5,1,-1,1,-1
421,57655,8,-1,1,-1,-1
422,41509,5,-1,-1,-1,-1
423,62220,7,-1,-1,1,-1
424,32101,4,-1,1,1,-1
425,28123,3,1,-1,-1,-1
426,37939,1,-1,-1,-1,-1
427,47425,8,-1,1,-1,-1
428,64948,8,1,1,-1,1
429,48537,1,-1,-1,-1,-1
430,1308,4,1,1,1,1
431,13460,5,1,-1,-1,1
432,8812,0,-1,1,1,1
433,65506,1,1,-1,-1,1
434,6230,3,1,-1,1,-1
435,10215,7,-1,-1,1,-1
436,38708,5,1,-1,1,-1
437,7158,0,-1,1,-1,1
438,17002,9,-1,-1,1,1
439,59351,5,-1,-1,-1,-1
440,42230,0,1,1,1,1
441,2945,5,-1,-1,1,1
442,49696,9,1,-1,-1,-1
443,62917,4,1,1,-1,-1
444,824,7,1,-1,1,-1
445,54907,6,-1,1,1,-1
446,46312,5,1,-1,1,1
447,51445,4,1,1,-1,1
448,6830,5,1,-1,1,-1
449,9517,6,1,1,-1,1
450,40716,1,-1,-1,-1,-1
451,34412,1,1,-1,-1,1
452,57686,0,1,1,-1,-1
453,53181,8,-1,1,-1,1
454,30135,9,-1,-1,-1,-1
455,23025,2,-1,1,-1,-1
456,55574,1,1,-1,-1,-1
457,39870,6,1,1,-1,-1
458,3575,5,-1,-1,-1,-1
459,21564,6,1,1,1,1
460,24071,9,1,-1,1,1
461,45015,3,1,-1,-1,1
462,20695,2,-1,1,1,-1
463,21746,4,1,1,1,1
464,36743,6,1,1,-1,-1
465,8428,2,1,1,-1,1
466,64949,1,1,-1,-1,-1
467,44725,1,1,-1,-1,1
468,21160,7,1,-1,1,1
469,43723,7,-1,-1,1,1
470,5703,4,-1,1,1,1
471,62107,8,-1,1,1,-1
472,55815,9,-1,-1,1,-1
473,44149,2,-1,1,-1,-1
474,10929,9,-1,-1,1,1
475,11531,2,1,1,-1,-1
476,51364,5,-1,-1,1,-1
477,19418,4,-1,1,-1,1
478,7986,2,1,1,1,-1
479,48521,3,-1,-1,1,-1
480,8509,0,-1,1,-1,1
481,26356,7,-1,-1,1,1
482,5831,3,-1,-1,-1,1
483,34605,3,1,-1,1,-1
484,11005,4,-1,1,1,1
485,69610,9,-1,-1,1,-1
486,6089,3,-1,-1,-1,-1
487,20556,1,1,-1,-1,-1
488,41555,1,-1,-1,-1,-1
489,53083,3,1,-1,1,-1
490,67372,5,-1,-1,1,1
491,12719,8,1,1,1,-1
492,9023,7,-1,-1,1,-1
493,28130,1,1,-1,1,1
494,36222,4,1,1,1,-1
495,34929,8,-1,1,-1,-1
496,22931,1,-1,-1,-1,-1
497,30425,0,-1,1,-1,-1
498,13553,4,-1,1,1,-1
499,68297,8,-1,1,-1,-1
500,58671,7,-1,-1,1,1
501,32456,8,-1,1,1,1
502,36792,6,1,1,1,-1
503,29558,4,1,1,-1,-1
504,52224,2,1,1,1,-1
505,32666,0,1,1,-1,1
506,4393,7,-1,-1,1,1
507,60484,4,1,1,1,-1
508,50251,2,-1,1,-1,1
509,24140,7,-1,-1,1,-1
510,47574,6,1,1,1,1
511,42300,4,1,1,-1,-1
