selector,rule,ref_id,selector_role
dense_qc_stable_ref30,random_label,55,predeclared_dense_only
dense_qc_stable_ref30,random_label,56,predeclared_dense_only
dense_qc_stable_ref30,random_label,58,predeclared_dense_only
dense_qc_stable_ref30,random_label,59,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,1,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,3,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,4,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,6,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,7,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,8,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,9,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,13,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,15,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,16,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,21,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,22,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,24,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,26,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,27,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,30,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,33,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,34,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,36,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,37,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,38,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,40,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,42,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,43,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,45,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,46,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,48,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,49,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,50,predeclared_dense_only
dense_qc_stable_ref30,real_even_odd,55,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,0,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,3,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,5,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,7,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,8,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,10,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,11,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,16,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,17,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,21,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,24,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,25,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,28,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,29,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,31,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,32,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,33,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,37,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,39,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,41,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,42,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,43,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,44,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,47,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,48,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,49,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,52,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,56,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,58,predeclared_dense_only
dense_qc_stable_ref30,teacher_nn,59,predeclared_dense_only
