r,target_direct_phi,proposal_lambda0p8_unweighted_phi,proposal_lambda0p8_reweighted_phi,proposal_lambda0p2_unweighted_phi,proposal_lambda0p2_reweighted_phi,diagnostic_note
1.45,1.7952018297443866,1.8532018297443866,1.8126018297443867,2.2882018297443865,2.0707018297443867,synthetic_known-proposal_bias_proxy
1.5,1.7882394730459241,1.8482394730459242,1.8062394730459241,2.298239473045924,2.0732394730459243,synthetic_known-proposal_bias_proxy
1.55,1.7776530523606602,1.8396530523606602,1.7962530523606601,2.3046530523606603,2.0721530523606604,synthetic_known-proposal_bias_proxy
1.6,1.7641856680132646,1.8281856680132647,1.7833856680132647,2.3081856680132646,2.068185668013265,synthetic_known-proposal_bias_proxy
1.65,1.747344554784363,1.813344554784363,1.767144554784363,2.308344554784363,2.060844554784363,synthetic_known-proposal_bias_proxy
1.7,1.7275948637992078,1.7955948637992079,1.7479948637992078,2.305594863799208,2.050594863799208,synthetic_known-proposal_bias_proxy
1.75,1.7045578723112886,1.7745578723112887,1.7255578723112885,2.2995578723112886,2.037057872311289,synthetic_known-proposal_bias_proxy
1.8,1.6788688896259283,1.7508688896259283,1.7004688896259283,2.290868889625928,2.020868889625928,synthetic_known-proposal_bias_proxy
1.85,1.649948469831111,1.7239484698311112,1.672148469831111,2.278948469831111,2.0014484698311112,synthetic_known-proposal_bias_proxy
1.9,1.6179812926227395,1.6939812926227396,1.6407812926227394,2.2639812926227396,1.9789812926227395,synthetic_known-proposal_bias_proxy
1.95,1.5832663029027492,1.6612663029027492,1.6066663029027493,2.2462663029027494,1.9537663029027492,synthetic_known-proposal_bias_proxy
2.0,1.5455621619810556,1.6255621619810556,1.5695621619810556,2.2255621619810557,1.9255621619810555,synthetic_known-proposal_bias_proxy
2.05,1.5050631365899316,1.5870631365899317,1.5296631365899316,2.2020631365899317,1.8945631365899316,synthetic_known-proposal_bias_proxy
2.1,1.4614962069358255,1.5454962069358256,1.4866962069358256,2.1754962069358257,1.8604962069358255,synthetic_known-proposal_bias_proxy
2.15,1.4151783270871878,1.501178327087188,1.4409783270871879,2.146178327087188,1.8236783270871877,synthetic_known-proposal_bias_proxy
2.2,1.3660291287120958,1.4540291287120959,1.3924291287120958,2.114029128712096,1.784029128712096,synthetic_known-proposal_bias_proxy
